単位[MWh],,,,,,,,,,,,,,
,,,供給力,,,,,,,,,,,
月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線,供給力合計
,,,,,,,,,,,,,,
2023/1/1,0時,3701,0,2745,345,10,256,0,0,322,0,1,22,3701
,1時,3795,0,2769,344,11,248,0,0,295,0,19,109,3795
,2時,3910,0,2881,355,10,246,0,0,285,0,0,134,3910
,3時,4046,0,2844,424,11,245,0,0,287,0,0,235,4046
,4時,4063,0,2864,434,10,255,0,0,279,0,0,221,4063
,5時,3965,0,2788,449,11,264,0,0,290,0,0,163,3965
,6時,3790,0,2723,390,10,263,0,0,296,0,0,108,3790
,7時,3531,0,2494,389,12,265,92,0,321,0,0,-42,3531
,8時,3503,0,2197,335,11,264,428,0,316,0,0,-47,3503
,9時,3308,0,1632,327,12,263,723,0,330,0,-15,36,3308
,10時,3274,0,1575,286,11,264,871,0,355,0,-128,40,3274
,11時,3212,0,1625,257,11,264,776,0,379,0,-181,83,3212
,12時,3243,0,1640,248,12,265,656,0,388,0,-38,72,3243
,13時,3176,0,1521,255,11,265,555,0,388,0,0,181,3176
,14時,3331,0,1675,272,12,265,380,0,382,0,0,345,3331
,15時,3481,0,2271,361,11,265,76,0,383,0,0,115,3481
,16時,3605,0,2640,511,12,264,0,0,380,0,0,-201,3605
,17時,3783,0,2837,628,11,264,0,0,400,0,0,-358,3783
,18時,3823,0,2894,663,12,264,0,0,405,0,0,-415,3823
,19時,3815,0,3032,565,11,263,0,0,406,0,2,-465,3815
,20時,3833,0,2968,464,12,264,0,0,400,0,66,-341,3833
,21時,3935,0,3070,392,11,263,0,0,409,0,85,-295,3935
,22時,3827,0,3024,335,12,263,0,0,385,0,70,-261,3827
,23時,3922,0,2972,332,11,263,0,0,365,0,27,-48,3922
2023/1/2,0時,3905,0,2917,362,11,264,0,0,355,0,0,-4,3905
,1時,3996,0,2908,376,10,264,0,0,350,0,0,89,3996
,2時,4164,0,3061,385,11,224,0,0,340,0,28,115,4164
,3時,4217,0,2938,384,10,218,0,0,336,0,59,271,4217
,4時,4256,0,2902,397,11,218,0,0,343,0,20,365,4256
,5時,4195,0,2810,453,11,218,0,0,342,0,0,361,4195
,6時,4094,0,2736,528,11,218,0,0,355,0,0,248,4094
,7時,3912,0,2644,551,12,218,61,0,353,0,0,75,3912
,8時,3899,0,2515,399,11,217,357,0,369,0,0,31,3899
,9時,3788,0,1977,316,12,217,622,0,381,0,0,262,3788
