DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2017/7/1  0:00,7667,1141,8706,0,0,0,43,0,85,216,1,-2525
2017/7/1  1:00,7543,1103,8460,0,0,0,56,0,83,218,1,-2378
2017/7/1  2:00,7640,1119,8665,0,0,0,74,0,84,218,1,-2521
2017/7/1  3:00,7854,1125,8863,0,0,0,92,0,83,220,2,-2531
2017/7/1  4:00,7844,1145,8836,0,8,0,92,0,82,222,1,-2542
2017/7/1  5:00,7645,1132,8540,0,129,0,119,0,78,227,1,-2581
2017/7/1  6:00,7719,1162,8520,0,215,0,95,0,84,229,2,-2588
2017/7/1  7:00,8050,1141,8785,0,347,0,81,0,84,219,2,-2609
2017/7/1  8:00,8560,1213,9002,0,493,0,80,0,84,219,2,-2533
2017/7/1  9:00,9074,1382,9125,0,596,0,90,0,81,217,2,-2419
2017/7/1  10:00,9305,1516,9448,0,557,0,111,0,83,224,2,-2636
2017/7/1  11:00,9332,1546,9152,0,595,0,151,0,80,220,1,-2413
2017/7/1  12:00,8896,1577,8630,0,811,0,179,0,85,207,2,-2595
2017/7/1  13:00,9021,1639,8240,0,1008,0,238,0,83,202,2,-2391
2017/7/1  14:00,8999,1635,8056,0,1114,0,267,0,82,201,2,-2358
2017/7/1  15:00,8979,1662,8297,0,879,0,263,0,84,203,2,-2411
2017/7/1  16:00,9041,1698,8868,0,587,0,252,0,82,202,2,-2650
2017/7/1  17:00,9006,1653,8973,0,309,0,231,0,81,207,1,-2449
2017/7/1  18:00,8921,1673,9177,0,23,0,225,0,82,207,2,-2468
2017/7/1  19:00,8919,1700,9091,0,0,0,226,0,84,207,2,-2391
2017/7/1  20:00,8533,1623,8794,0,0,0,193,0,83,216,2,-2378
2017/7/1  21:00,8087,1596,8532,0,0,0,197,0,83,198,2,-2521
2017/7/1  22:00,7764,1570,8540,0,0,0,165,0,78,187,2,-2778
2017/7/1  23:00,7446,1550,8074,0,0,0,152,0,82,162,3,-2577
2017/7/2  0:00,7080,1542,8006,0,0,0,134,0,84,137,2,-2825
2017/7/2  1:00,6939,1575,7936,0,0,0,165,0,84,128,2,-2951
2017/7/2  2:00,7083,1574,7967,0,0,0,176,0,83,128,2,-2847
2017/7/2  3:00,7272,1606,7669,0,0,0,177,0,83,122,2,-2387
2017/7/2  4:00,7263,1619,7740,0,13,0,220,0,81,123,2,-2535
2017/7/2  5:00,7098,1606,7700,0,214,0,239,0,80,123,1,-2865
2017/7/2  6:00,7078,1614,7700,0,586,0,264,0,84,121,2,-3293
2017/7/2  7:00,7356,1628,7658,0,1010,0,271,0,83,118,2,-3414
2017/7/2  8:00,7688,1677,7306,0,1468,0,281,0,83,119,2,-3248
