DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2016/7/1 0:00,7423,1042,8417,0,0,0,30,0,114,186,0,-2366
2016/7/1 1:00,7307,1001,8314,0,0,0,31,0,114,187,0,-2340
2016/7/1 2:00,7488,999,8505,0,0,0,32,0,113,182,0,-2343
2016/7/1 3:00,7698,991,8726,0,0,0,40,0,112,187,0,-2358
2016/7/1 4:00,7709,996,8737,0,6,0,31,0,109,186,0,-2356
2016/7/1 5:00,7597,1007,8470,0,162,0,26,0,108,187,0,-2363
2016/7/1 6:00,7774,1043,8351,0,423,0,22,0,113,186,0,-2364
2016/7/1 7:00,8220,1068,8459,0,730,0,27,0,112,192,0,-2368
2016/7/1 8:00,9033,1086,8960,0,1074,0,29,0,113,195,0,-2424
2016/7/1 9:00,9945,1089,9562,0,1375,0,40,0,112,190,0,-2423
2016/7/1 10:00,10332,1121,9958,0,1478,0,33,0,109,194,0,-2561
2016/7/1 11:00,10474,1103,10157,0,1526,0,53,0,106,192,0,-2663
2016/7/1 12:00,9998,1074,9608,0,1469,0,57,0,109,195,0,-2514
2016/7/1 13:00,10475,1150,10403,0,1267,0,71,0,110,192,21,-2739
2016/7/1 14:00,10657,1289,10320,0,1186,0,64,0,112,193,145,-2652
2016/7/1 15:00,10525,1329,10412,0,865,0,41,0,109,190,146,-2567
2016/7/1 16:00,10596,1426,10628,0,598,0,28,0,108,190,181,-2563
2016/7/1 17:00,10200,1505,10439,0,364,0,20,0,110,174,145,-2557
2016/7/1 18:00,9758,1507,10338,0,20,0,17,0,109,171,37,-2441
2016/7/1 19:00,9701,1418,10402,0,0,0,21,0,108,170,0,-2418
2016/7/1 20:00,9182,1259,10046,0,0,0,25,0,109,166,0,-2423
2016/7/1 21:00,8646,1144,9596,0,0,0,26,0,110,170,0,-2400
2016/7/1 22:00,8503,1075,9417,0,0,0,31,0,107,163,0,-2290
2016/7/1 23:00,8147,1049,9159,0,0,0,37,0,107,164,0,-2369
2016/7/2 0:00,7694,989,8821,0,0,0,30,0,110,167,0,-2423
2016/7/2 1:00,7512,979,8616,0,0,0,40,0,108,169,0,-2400
2016/7/2 2:00,7607,983,8718,0,0,0,37,0,111,167,0,-2409
2016/7/2 3:00,7768,981,8897,0,0,0,51,0,107,165,0,-2433
2016/7/2 4:00,7692,979,8832,0,7,0,51,0,108,163,0,-2448
2016/7/2 5:00,7464,999,8443,0,154,0,67,0,106,165,0,-2470
2016/7/2 6:00,7536,1025,8347,0,296,0,80,0,110,161,0,-2483
2016/7/2 7:00,7905,1025,8558,0,487,0,84,0,111,165,0,-2525
2016/7/2 8:00,8353,1047,8781,0,712,0,91,0,107,167,0,-2552
2016/7/2 9:00,8924,1073,9254,0,717,0,111,0,107,180,0,-2518
2016/7/2 10:00,9223,1080,9284,0,826,0,142,0,107,180,0,-2396
2016/7/2 11:00,9408,1093,9600,0,710,0,161,0,106,186,0,-2448
2016/7/2 12:00,9260,1088,9436,0,677,0,214,0,108,183,0,-2446
2016/7/2 13:00,9471,1162,9660,0,653,0,190,0,108,184,0,-2486
2016/7/2 14:00,9342,1261,9676,0,347,0,236,0,108,182,0,-2468
2016/7/2 15:00,9351,1290,9670,0,241,0,304,0,107,179,0,-2440
2016/7/2 16:00,9343,1397,9602,0,135,0,412,0,107,180,0,-2490
2016/7/2 17:00,9278,1467,9515,0,66,0,432,0,107,176,0,-2485
2016/7/2 18:00,9291,1518,9487,0,6,0,438,0,106,183,0,-2447
2016/7/2 19:00,9112,1539,9226,0,0,0,443,0,106,181,0,-2383
2016/7/2 20:00,8679,1438,8838,0,0,0,451,0,107,183,0,-2338
2016/7/2 21:00,8160,1376,8280,0,0,0,425,0,107,177,0,-2205
2016/7/2 22:00,8030,1337,8159,0,0,0,448,0,105,166,0,-2185
2016/7/2 23:00,7664,1259,7926,0,0,0,382,0,110,156,0,-2169
2016/7/3 0:00,7245,1194,7655,0,0,0,337,0,110,157,0,-2208
2016/7/3 1:00,7070,1184,7335,0,0,0,405,0,109,151,0,-2114
2016/7/3 2:00,7172,1191,7269,0,0,0,436,0,112,153,0,-1989
2016/7/3 3:00,7337,1197,7335,0,0,0,438,0,108,155,0,-1896
2016/7/3 4:00,7319,1202,7354,0,0,0,419,0,106,157,0,-1919
2016/7/3 5:00,7074,1231,7080,0,86,0,403,0,108,156,0,-1990
2016/7/3 6:00,7123,1264,7138,0,172,0,388,0,112,155,0,-2106
2016/7/3 7:00,7469,1252,7558,0,210,0,313,0,112,160,0,-2136
2016/7/3 8:00,7798,1256,7943,0,191,0,256,0,111,160,0,-2119
2016/7/3 9:00,8190,1254,8258,0,349,0,252,0,111,158,0,-2192
2016/7/3 10:00,8307,1258,8243,0,468,0,243,0,107,159,0,-2171
2016/7/3 11:00,8361,1288,8054,0,683,0,252,0,105,161,0,-2182
2016/7/3 12:00,8410,1293,7893,0,872,0,266,0,108,160,0,-2182
2016/7/3 13:00,8209,1303,7653,0,871,0,280,0,111,157,0,-2166
2016/7/3 14:00,8229,1360,7819,0,700,0,271,0,110,157,0,-2188
2016/7/3 15:00,8265,1408,7971,0,640,0,287,0,110,154,0,-2305
2016/7/3 16:00,8470,1374,8492,0,411,0,300,0,108,156,0,-2371
2016/7/3 17:00,8648,1421,8878,0,230,0,305,0,108,159,0,-2453
2016/7/3 18:00,8796,1482,9240,0,27,0,301,0,108,161,0,-2523
2016/7/3 19:00,8930,1472,9516,0,0,0,287,0,112,160,0,-2617
2016/7/3 20:00,8655,1432,9187,0,0,0,294,0,110,157,0,-2525
2016/7/3 21:00,8147,1233,8874,0,0,0,281,0,110,158,0,-2509
2016/7/3 22:00,7664,1197,8340,0,0,0,284,0,110,157,0,-2424
2016/7/3 23:00,7265,1186,7963,0,0,0,286,0,105,170,0,-2445
2016/7/4 0:00,6919,1103,7682,0,0,0,288,0,111,166,0,-2431
2016/7/4 1:00,6858,1096,7627,0,0,0,293,0,110,181,0,-2449
2016/7/4 2:00,7068,1092,7840,0,0,0,292,0,113,184,0,-2453
2016/7/4 3:00,7285,1088,8083,0,0,0,286,0,110,183,0,-2465
2016/7/4 4:00,7331,1114,8065,0,4,0,311,0,107,189,0,-2459
2016/7/4 5:00,7272,1120,7901,0,84,0,328,0,107,189,1,-2458
2016/7/4 6:00,7530,1134,8031,0,209,0,319,0,110,188,0,-2461
2016/7/4 7:00,8127,1191,8357,0,449,0,277,0,110,187,0,-2444
2016/7/4 8:00,8945,1233,8752,0,796,0,288,0,112,192,0,-2428
2016/7/4 9:00,9820,1251,9272,0,1050,0,287,0,111,190,0,-2341
2016/7/4 10:00,10150,1247,9357,0,1241,0,280,0,106,189,0,-2270
2016/7/4 11:00,10304,1272,9516,0,1274,0,252,0,106,186,2,-2304
2016/7/4 12:00,9626,1208,9195,0,1125,0,247,0,109,187,1,-2446
2016/7/4 13:00,10095,1383,9633,0,988,0,251,0,108,186,1,-2455
2016/7/4 14:00,10156,1422,10026,0,748,0,219,0,109,187,0,-2555
2016/7/4 15:00,10028,1503,10119,0,544,0,148,0,108,193,0,-2587
2016/7/4 16:00,10043,1588,10335,0,327,0,81,0,109,196,0,-2593
2016/7/4 17:00,9666,1550,10139,0,181,0,62,0,109,195,0,-2570
2016/7/4 18:00,9479,1525,10149,0,11,0,39,0,109,194,0,-2548
2016/7/4 19:00,9324,1516,10116,0,0,0,22,0,110,192,0,-2632
2016/7/4 20:00,8833,1388,9765,0,0,0,27,0,109,194,0,-2650
2016/7/4 21:00,8307,1197,9448,0,0,0,28,0,113,191,0,-2670
2016/7/4 22:00,8175,1186,9197,0,0,0,31,0,109,185,0,-2533
2016/7/4 23:00,7738,1134,8729,0,0,0,31,0,108,186,0,-2450
2016/7/5 0:00,7328,1042,8469,0,0,0,47,0,113,183,0,-2526
2016/7/5 1:00,7220,1025,8378,0,0,0,57,0,111,183,0,-2534
2016/7/5 2:00,7374,1019,8529,0,0,0,63,0,110,182,0,-2529
2016/7/5 3:00,7586,1016,8714,0,0,0,81,0,111,186,0,-2522
2016/7/5 4:00,7625,1024,8766,0,7,0,90,0,110,189,0,-2561
2016/7/5 5:00,7514,1096,8472,0,98,0,99,0,107,184,0,-2542
2016/7/5 6:00,7780,1246,8502,0,211,0,102,0,113,187,0,-2581
2016/7/5 7:00,8134,1337,8587,0,344,0,118,0,112,185,0,-2549
2016/7/5 8:00,8858,1326,9102,0,522,0,146,0,111,195,0,-2544
2016/7/5 9:00,9466,1352,9575,0,645,0,161,0,109,193,0,-2569
2016/7/5 10:00,9593,1388,9684,0,683,0,150,0,109,196,0,-2617
2016/7/5 11:00,9636,1489,9712,0,709,0,132,0,111,196,0,-2713
2016/7/5 12:00,8960,1476,8914,0,674,0,129,0,114,198,0,-2545
2016/7/5 13:00,9449,1525,9472,0,620,0,148,0,113,193,0,-2622
2016/7/5 14:00,9655,1547,9710,0,615,0,149,0,115,191,0,-2672
2016/7/5 15:00,9598,1544,9964,0,462,0,133,0,110,193,0,-2808
2016/7/5 16:00,9639,1585,10087,0,329,0,140,0,110,197,0,-2809
2016/7/5 17:00,9333,1640,9988,0,185,0,147,0,110,196,0,-2933
2016/7/5 18:00,9187,1680,9974,0,15,0,157,0,115,190,0,-2944
2016/7/5 19:00,9141,1640,9949,0,0,0,161,0,115,196,0,-2920
2016/7/5 20:00,8650,1500,9396,0,0,0,173,0,114,190,0,-2723
2016/7/5 21:00,8213,1415,8963,0,0,0,200,0,113,189,0,-2667
2016/7/5 22:00,8054,1414,8735,0,0,0,219,0,111,182,0,-2607
2016/7/5 23:00,7699,1382,8436,0,0,0,210,0,111,182,0,-2622
