DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2020/10/1 0:00,6904,736,8522,0,0,0,144,0,141,369,0,-3008
2020/10/1 1:00,6831,715,8323,0,0,0,155,0,140,368,0,-2870
2020/10/1 2:00,7023,695,8252,0,0,0,150,0,142,367,0,-2583
2020/10/1 3:00,7336,677,8376,0,0,0,123,0,140,366,0,-2346
2020/10/1 4:00,7506,673,8320,0,0,0,155,0,138,366,0,-2146
2020/10/1 5:00,7537,690,8314,0,9,0,122,0,140,364,0,-2102
2020/10/1 6:00,7673,663,8619,0,245,0,130,0,138,356,0,-2478
2020/10/1 7:00,7917,623,9408,0,498,0,117,0,139,361,0,-3229
2020/10/1 8:00,8560,600,10223,0,884,0,105,0,137,371,0,-3760
2020/10/1 9:00,9104,609,10657,0,1016,0,87,0,138,370,0,-3773
2020/10/1 10:00,9161,610,10590,0,1154,0,84,0,137,382,0,-3796
2020/10/1 11:00,9159,613,10451,0,1333,0,77,0,135,379,0,-3829
2020/10/1 12:00,8672,626,9486,0,1512,0,60,0,136,380,0,-3528
2020/10/1 13:00,9229,650,10280,0,1313,0,80,0,136,374,0,-3604
2020/10/1 14:00,9298,722,10260,0,1068,0,87,0,135,371,0,-3345
2020/10/1 15:00,9225,769,9860,0,990,0,96,0,138,369,0,-2997
2020/10/1 16:00,9116,783,9939,0,236,0,97,0,141,387,0,-2467
2020/10/1 17:00,9198,759,10111,0,3,0,122,0,138,380,0,-2315
2020/10/1 18:00,9080,758,10057,0,0,0,146,0,139,380,0,-2400
2020/10/1 19:00,8623,746,9921,0,0,0,158,0,139,380,0,-2721
2020/10/1 20:00,8212,721,10032,0,0,0,144,0,138,380,0,-3203
2020/10/1 21:00,7801,644,10243,0,0,0,139,0,139,380,0,-3744
2020/10/1 22:00,7564,621,9091,0,0,0,118,0,140,368,0,-2774
2020/10/1 23:00,7307,601,8880,0,0,0,114,0,138,366,0,-2792
2020/10/2 0:00,7021,577,8484,0,0,0,69,0,138,366,0,-2613
2020/10/2 1:00,6960,569,8327,0,0,0,51,0,141,365,0,-2493
2020/10/2 2:00,7150,562,8505,0,0,0,73,0,141,369,0,-2500
2020/10/2 3:00,7427,569,8825,0,0,0,79,0,139,366,0,-2551
2020/10/2 4:00,7604,569,8899,0,0,0,63,0,140,367,0,-2434
2020/10/2 5:00,7582,582,8602,0,17,0,91,0,138,366,0,-2214
2020/10/2 6:00,7573,588,8541,0,530,0,96,0,138,360,0,-2680
2020/10/2 7:00,7889,559,8032,0,1896,0,91,0,139,362,0,-3190
2020/10/2 8:00,8570,558,8410,0,3105,0,63,0,138,371,0,-4075
2020/10/2 9:00,9123,572,8040,0,4004,0,36,0,136,368,0,-4033
2020/10/2 10:00,9303,598,7773,0,4522,0,38,0,137,368,0,-4133
2020/10/2 11:00,9394,617,7638,0,4530,0,43,0,140,369,0,-3943
2020/10/2 12:00,8933,641,7622,0,4278,0,82,0,139,375,0,-4204
2020/10/2 13:00,9374,701,8793,0,3564,0,104,0,143,369,0,-4300
2020/10/2 14:00,9531,730,9735,0,2786,0,91,0,144,368,0,-4323
2020/10/2 15:00,9444,819,9888,0,1806,0,90,0,144,368,0,-3671
2020/10/2 16:00,9126,851,10044,0,311,0,85,0,145,384,0,-2694
2020/10/2 17:00,9140,848,9978,0,3,0,88,0,143,380,0,-2300
2020/10/2 18:00,8991,847,9950,0,0,0,96,0,140,382,0,-2424
2020/10/2 19:00,8581,830,9997,0,0,0,112,0,142,380,0,-2880
2020/10/2 20:00,8135,797,9858,0,0,0,144,0,142,382,0,-3188
2020/10/2 21:00,7670,701,9958,0,0,0,169,0,141,381,0,-3680
2020/10/2 22:00,7539,697,9107,0,0,0,206,0,143,367,0,-2981
2020/10/2 23:00,7263,681,8905,0,0,0,226,0,140,365,0,-3054
2020/10/3 0:00,6953,629,8909,0,0,0,267,0,142,365,0,-3359
2020/10/3 1:00,6794,621,8428,0,0,0,306,0,142,366,0,-3069
