DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2017/10/1  0:00,6672,850,7029,0,0,0,171,0,73,212,2,-1665
2017/10/1  1:00,6592,843,6982,0,0,0,175,0,75,203,2,-1688
2017/10/1  2:00,6843,842,7039,0,0,0,161,0,75,202,2,-1478
2017/10/1  3:00,7131,836,7548,0,0,0,145,0,73,202,2,-1675
2017/10/1  4:00,7235,841,7791,0,0,0,109,0,73,201,2,-1782
2017/10/1  5:00,7063,839,7669,0,6,0,95,0,76,202,1,-1825
2017/10/1  6:00,6946,862,7354,0,353,0,90,0,74,197,2,-1986
2017/10/1  7:00,7126,919,6932,0,1162,0,78,0,73,187,2,-2227
2017/10/1  8:00,7316,933,6503,0,1885,0,65,0,74,183,2,-2329
2017/10/1  9:00,7616,927,6169,0,2595,0,63,0,74,180,1,-2393
2017/10/1  10:00,7797,932,6175,0,3017,0,131,0,74,173,-216,-2489
2017/10/1  11:00,7839,920,6085,0,3091,0,154,0,75,173,-220,-2439
2017/10/1  12:00,7866,894,6452,0,2911,0,152,0,74,170,-219,-2568
2017/10/1  13:00,7757,912,6876,0,2316,0,146,0,74,173,-108,-2632
2017/10/1  14:00,7706,919,7364,0,1546,0,109,0,74,174,2,-2482
2017/10/1  15:00,7654,956,8056,0,680,0,65,0,74,179,2,-2358
2017/10/1  16:00,7764,1200,7960,0,135,0,69,0,73,187,2,-1862
2017/10/1  17:00,8512,1255,8747,0,0,0,89,0,74,186,0,-1839
2017/10/1  18:00,8720,1258,8915,0,0,0,112,0,74,187,1,-1827
2017/10/1  19:00,8486,1200,8772,0,0,0,142,0,74,193,1,-1896
2017/10/1  20:00,8194,949,8678,0,0,0,182,0,72,203,1,-1891
2017/10/1  21:00,7809,861,8604,0,0,0,218,0,74,201,1,-2150
2017/10/1  22:00,7327,836,7964,0,0,0,240,0,74,204,0,-1991
2017/10/1  23:00,7007,838,7750,0,0,0,233,0,76,208,-1,-2097
2017/10/2  0:00,6652,792,7320,0,0,0,217,0,72,225,0,-1974
2017/10/2  1:00,6704,790,7462,0,0,0,217,0,74,227,0,-2066
2017/10/2  2:00,6948,795,7683,0,0,0,233,0,74,228,0,-2065
2017/10/2  3:00,7224,786,7892,0,0,0,246,0,74,224,0,-1998
2017/10/2  4:00,7355,799,7994,0,0,0,265,0,74,226,0,-2003
2017/10/2  5:00,7406,811,8049,0,0,0,242,0,74,226,0,-1996
2017/10/2  6:00,7567,949,8329,0,131,0,247,0,74,209,0,-2372
2017/10/2  7:00,7987,1034,8361,0,353,0,233,0,74,205,0,-2273
2017/10/2  8:00,8445,998,8284,0,691,0,191,0,72,209,0,-2000
2017/10/2  9:00,9140,944,8690,0,974,0,152,0,74,212,0,-1906
2017/10/2  10:00,9283,929,9010,0,1142,0,141,0,73,212,0,-2224
2017/10/2  11:00,9400,922,8786,0,1386,0,145,0,73,211,0,-2123
2017/10/2  12:00,8866,980,8207,0,1327,0,145,0,73,212,0,-2078
2017/10/2  13:00,9437,991,9203,0,902,0,106,0,74,217,0,-2056
2017/10/2  14:00,9491,1036,9676,0,434,0,92,0,73,212,0,-2032
2017/10/2  15:00,9478,1097,9741,0,205,0,85,0,72,214,0,-1936
2017/10/2  16:00,9677,1204,9728,0,31,0,96,0,71,217,0,-1670
2017/10/2  17:00,9787,1249,9654,0,0,0,111,0,70,221,0,-1518
2017/10/2  18:00,9529,1231,9448,0,0,0,104,0,73,225,0,-1552
2017/10/2  19:00,9046,1190,9332,0,0,0,90,0,74,222,0,-1862
2017/10/2  20:00,8582,1036,9246,0,0,0,80,0,73,220,0,-2073
2017/10/2  21:00,8174,973,8853,0,0,0,109,0,73,221,0,-2055
2017/10/2  22:00,8049,857,8999,0,0,0,106,0,72,219,0,-2204
2017/10/2  23:00,7734,816,8653,0,0,0,103,0,70,221,0,-2129
2017/10/3  0:00,7431,735,8188,0,0,0,90,0,75,219,0,-1876
2017/10/3  1:00,7354,739,8135,0,0,0,108,0,72,218,0,-1918
2017/10/3  2:00,7556,747,8336,0,0,0,101,0,74,216,0,-1918
2017/10/3  3:00,7797,750,8534,0,0,0,146,0,73,219,0,-1925
