DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,êÖóÕÅkMWhÅl,âŒóÕÅkMWhÅl,å¥éqóÕÅkMWhÅl,ëæózåıé¿ê—ÅkMWhÅl,ëæózåıó}êßó ÅkMWhÅl,ïóóÕé¿ê—ÅkMWhÅl,ïóóÕó}êßó ÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2023/7/1 0:00,7131,1787,7027,0,0,0,1204,0,100,417,0,-3404
2023/7/1 1:00,6941,1777,6386,0,0,0,1254,0,99,413,0,-2988
2023/7/1 2:00,6977,1777,6162,0,0,0,1255,0,100,411,0,-2728
2023/7/1 3:00,7124,1778,6367,0,0,0,1153,0,99,407,0,-2680
2023/7/1 4:00,7168,1777,6256,0,35,0,984,0,99,406,0,-2389
2023/7/1 5:00,7037,1771,6028,0,341,0,807,0,100,406,0,-2416
2023/7/1 6:00,6920,1782,6171,0,827,0,615,0,101,423,0,-2999
2023/7/1 7:00,7301,1792,6137,0,1490,0,577,0,100,408,0,-3203
2023/7/1 8:00,7954,1817,5828,0,2478,0,476,0,99,383,0,-3127
2023/7/1 9:00,8434,1836,6251,0,3146,0,450,0,100,396,0,-3745
2023/7/1 10:00,8650,1859,6186,0,3750,0,433,0,100,399,0,-4077
2023/7/1 11:00,8690,1875,5594,0,3515,0,441,0,102,419,0,-3256
2023/7/1 12:00,8569,1841,5221,0,3615,0,517,0,102,426,0,-3153
2023/7/1 13:00,8540,1866,5548,0,3049,0,566,0,103,453,0,-3045
2023/7/1 14:00,8456,1862,5793,0,2622,0,580,0,102,444,0,-2947
2023/7/1 15:00,8344,1819,6318,0,2138,0,514,0,101,431,0,-2977
2023/7/1 16:00,8332,1800,7311,0,1310,0,455,0,100,405,0,-3049
2023/7/1 17:00,8319,1776,8152,0,584,0,373,0,98,393,0,-3057
2023/7/1 18:00,8282,1755,8496,0,69,0,338,0,100,403,0,-2879
2023/7/1 19:00,8200,1705,8490,0,0,0,335,0,100,402,0,-2832
