ãüãããÊàÊÇÃé˘ããé¿ê—,,,,,,,,,,,,,
,,é˘óvé¿ê—(MWh),ãüããé¿ê—(MWh),,,,,,,,,,
DATE,TIME,é˘óv,å¥éqóÕ,âŒóÕ,êÖóÕ,ínîM,ÉoÉCÉIÉ}ÉX,ëæózåı(é¿ê—),ëæózåı(ó}êßó ),ïóóÕ(é¿ê—),ïóóÕ(ó}êßó ),ógêÖ,òAånê¸í™ó¨
2017/4/1,0:00,6545,0,5119,615,0,120,0,Å|,47,Å|,0,644
2017/4/1,1:00,6601,0,5224,634,0,119,0,Å|,52,Å|,0,572
2017/4/1,2:00,6850,0,5282,666,0,118,0,Å|,50,Å|,11,723
2017/4/1,3:00,7059,0,5165,667,0,117,0,Å|,49,Å|,0,1061
2017/4/1,4:00,6959,0,5124,601,0,117,0,Å|,51,Å|,0,1064
2017/4/1,5:00,6671,0,5167,583,0,118,0,Å|,58,Å|,15,730
2017/4/1,6:00,6647,0,5326,600,0,118,62,Å|,57,Å|,76,408
2017/4/1,7:00,6623,0,5205,594,0,114,286,Å|,46,Å|,88,289
2017/4/1,8:00,6893,0,4987,598,0,108,798,Å|,51,Å|,7,344
2017/4/1,9:00,7270,0,4432,621,0,107,1711,Å|,44,Å|,39,316
2017/4/1,10:00,6797,0,3996,615,0,109,1924,Å|,53,Å|,-172,272
2017/4/1,11:00,6709,0,3934,590,0,109,2374,Å|,52,Å|,-608,258
2017/4/1,12:00,6272,0,3721,593,0,108,2409,Å|,63,Å|,-803,182
2017/4/1,13:00,6256,0,3830,609,0,104,2217,Å|,72,Å|,-847,270
2017/4/1,14:00,6005,0,3814,605,0,104,1782,Å|,77,Å|,-699,322
2017/4/1,15:00,6046,0,3884,599,0,104,1505,Å|,82,Å|,-549,422
2017/4/1,16:00,6124,0,4202,604,0,103,862,Å|,73,Å|,-130,410
2017/4/1,17:00,6268,0,4886,618,0,103,249,Å|,54,Å|,6,352
2017/4/1,18:00,6750,0,5592,714,0,103,11,Å|,35,Å|,244,52
2017/4/1,19:00,6891,0,5592,708,0,103,0,Å|,23,Å|,382,84
2017/4/1,20:00,6714,0,5417,658,0,103,0,Å|,17,Å|,170,348
2017/4/1,21:00,6462,0,5068,592,0,103,0,Å|,13,Å|,0,686
2017/4/1,22:00,6190,0,4923,568,0,103,0,Å|,10,Å|,0,586
2017/4/1,23:00,5974,0,4691,551,0,104,0,Å|,9,Å|,0,620
2017/4/2,0:00,5938,0,4492,538,0,104,0,Å|,23,Å|,0,782
2017/4/2,1:00,6024,0,4531,555,0,104,0,Å|,20,Å|,0,815
2017/4/2,2:00,6409,0,4880,547,0,104,0,Å|,20,Å|,11,848
2017/4/2,3:00,6678,0,5023,548,0,103,0,Å|,22,Å|,87,896
2017/4/2,4:00,6569,0,4985,531,0,103,0,Å|,20,Å|,102,829
2017/4/2,5:00,6224,0,4888,535,0,103,0,Å|,28,Å|,0,671
2017/4/2,6:00,6076,0,4580,555,0,103,99,Å|,23,Å|,0,717
2017/4/2,7:00,6054,0,4122,574,0,103,428,Å|,25,Å|,-2,804
2017/4/2,8:00,5864,0,3781,552,0,102,993,Å|,33,Å|,-346,749
2017/4/2,9:00,5911,0,3831,582,0,103,1535,Å|,45,Å|,-662,478
2017/4/2,10:00,5808,0,3738,582,0,103,1895,Å|,63,Å|,-980,408
2017/4/2,11:00,5850,0,3386,566,0,103,2092,Å|,92,Å|,-956,566
2017/4/2,12:00,5762,0,3012,589,0,105,2007,Å|,76,Å|,-662,635
2017/4/2,13:00,5647,0,2772,578,0,112,1683,Å|,64,Å|,-72,510
2017/4/2,14:00,5504,0,2979,579,0,108,1378,Å|,66,Å|,-10,404
2017/4/2,15:00,5418,0,3254,577,0,107,923,Å|,61,Å|,0,498
2017/4/2,16:00,5895,0,4026,592,0,104,558,Å|,45,Å|,22,548
2017/4/2,17:00,6346,0,4903,607,0,103,243,Å|,46,Å|,4,441
2017/4/2,18:00,6708,0,5151,697,0,103,11,Å|,45,Å|,215,486
2017/4/2,19:00,6885,0,5272,705,0,103,0,Å|,13,Å|,387,405
2017/4/2,20:00,6720,0,5183,658,0,102,0,Å|,10,Å|,391,375
2017/4/2,21:00,6521,0,5216,620,0,102,0,Å|,4,Å|,213,365
2017/4/2,22:00,6182,0,4847,586,0,104,0,Å|,6,Å|,58,582
2017/4/2,23:00,5879,0,4565,503,0,104,0,Å|,11,Å|,0,697
2017/4/3,0:00,5960,0,4560,505,0,104,0,Å|,16,Å|,0,776
2017/4/3,1:00,6108,0,4616,532,0,104,0,Å|,26,Å|,0,830
2017/4/3,2:00,6468,0,4786,541,0,104,0,Å|,36,Å|,0,1001
2017/4/3,3:00,6762,0,4971,570,0,104,0,Å|,60,Å|,113,944
2017/4/3,4:00,6744,0,4946,556,0,104,0,Å|,63,Å|,125,950
2017/4/3,5:00,6678,0,4998,580,0,104,0,Å|,66,Å|,90,841
2017/4/3,6:00,7024,0,5247,585,0,103,163,Å|,80,Å|,296,549
2017/4/3,7:00,7214,0,5090,562,0,102,752,Å|,76,Å|,176,456
2017/4/3,8:00,7311,0,4718,576,0,101,1446,Å|,73,Å|,6,391
2017/4/3,9:00,7425,0,4376,583,0,100,2003,Å|,84,Å|,0,279
2017/4/3,10:00,7230,0,4174,529,0,100,2388,Å|,107,Å|,-263,195
2017/4/3,11:00,7204,0,4168,571,0,101,2597,Å|,122,Å|,-569,214
2017/4/3,12:00,6631,0,3974,577,0,102,2599,Å|,132,Å|,-1049,297
2017/4/3,13:00,6958,0,4050,579,0,101,2490,Å|,140,Å|,-525,124
2017/4/3,14:00,6931,0,4117,602,0,100,2179,Å|,145,Å|,-268,56
2017/4/3,15:00,6794,0,4248,573,0,100,1704,Å|,129,Å|,0,39
2017/4/3,16:00,6822,0,4800,599,0,100,1047,Å|,102,Å|,0,173
2017/4/3,17:00,6853,0,5553,665,0,100,366,Å|,84,Å|,0,84
2017/4/3,18:00,7192,0,5891,711,0,101,16,Å|,68,Å|,324,80
2017/4/3,19:00,7176,0,5673,711,0,99,0,Å|,46,Å|,461,185
2017/4/3,20:00,7010,0,5386,667,0,100,0,Å|,31,Å|,431,396
2017/4/3,21:00,6752,0,5190,635,0,101,0,Å|,25,Å|,275,526
2017/4/3,22:00,6404,0,5132,581,0,101,0,Å|,23,Å|,149,418
2017/4/3,23:00,6144,0,4798,568,0,101,0,Å|,19,Å|,0,658
2017/4/4,0:00,6126,0,4676,524,0,101,0,Å|,20,Å|,0,806
2017/4/4,1:00,6328,0,4760,518,0,101,0,Å|,18,Å|,0,931
2017/4/4,2:00,6779,0,5063,566,0,100,0,Å|,17,Å|,138,895
2017/4/4,3:00,7037,0,5128,561,0,101,0,Å|,18,Å|,270,960
2017/4/4,4:00,6980,0,5140,548,0,103,0,Å|,15,Å|,257,918
2017/4/4,5:00,6797,0,5161,581,0,103,0,Å|,11,Å|,158,784
2017/4/4,6:00,7097,0,5231,591,0,103,168,Å|,5,Å|,370,630
2017/4/4,7:00,7115,0,4934,593,0,102,758,Å|,5,Å|,119,604
2017/4/4,8:00,7257,0,4588,584,0,100,1435,Å|,1,Å|,19,530
2017/4/4,9:00,7410,0,4315,635,0,100,1955,Å|,3,Å|,1,401
2017/4/4,10:00,7198,0,4186,572,0,100,2311,Å|,6,Å|,-422,446
2017/4/4,11:00,7182,0,4008,583,0,101,2522,Å|,7,Å|,-628,589
2017/4/4,12:00,6668,0,3814,569,0,102,2565,Å|,9,Å|,-1082,693
2017/4/4,13:00,6986,0,3971,583,0,101,2430,Å|,7,Å|,-725,620
2017/4/4,14:00,6872,0,4121,601,0,100,2119,Å|,7,Å|,-463,386
2017/4/4,15:00,6860,0,4312,608,0,100,1638,Å|,4,Å|,-139,338
2017/4/4,16:00,6929,0,4936,644,0,100,975,Å|,3,Å|,126,144
2017/4/4,17:00,6838,0,5359,689,0,100,292,Å|,6,Å|,68,324
2017/4/4,18:00,7016,0,5516,724,0,101,14,Å|,3,Å|,186,470
2017/4/4,19:00,7039,0,5482,726,0,100,0,Å|,2,Å|,188,540
2017/4/4,20:00,6898,0,5433,642,0,100,0,Å|,4,Å|,167,553
2017/4/4,21:00,6637,0,5030,609,0,101,0,Å|,10,Å|,59,829
2017/4/4,22:00,6272,0,4894,587,0,101,0,Å|,22,Å|,0,668
2017/4/4,23:00,6089,0,4740,563,0,102,0,Å|,22,Å|,0,662
2017/4/5,0:00,6027,0,4434,525,0,100,0,Å|,33,Å|,-19,954
2017/4/5,1:00,6214,0,4729,497,0,101,0,Å|,47,Å|,0,840
2017/4/5,2:00,6572,0,4966,531,0,100,0,Å|,52,Å|,16,908
2017/4/5,3:00,6813,0,4930,567,0,100,0,Å|,46,Å|,108,1062
2017/4/5,4:00,6811,0,4986,573,0,102,0,Å|,46,Å|,11,1093
2017/4/5,5:00,6546,0,5044,575,0,102,0,Å|,51,Å|,145,629
2017/4/5,6:00,6554,0,5065,542,0,102,81,Å|,51,Å|,109,603
2017/4/5,7:00,6602,0,4844,588,0,101,409,Å|,54,Å|,17,590
2017/4/5,8:00,6893,0,4801,618,0,98,749,Å|,58,Å|,0,569
2017/4/5,9:00,7147,0,4669,645,0,98,1125,Å|,53,Å|,0,557
2017/4/5,10:00,6930,0,4586,598,0,98,1183,Å|,50,Å|,0,415
2017/4/5,11:00,6718,0,4637,580,0,98,1103,Å|,47,Å|,-12,265
2017/4/5,12:00,6398,0,4438,545,0,99,1236,Å|,44,Å|,-329,364
2017/4/5,13:00,6694,0,4895,579,0,96,780,Å|,57,Å|,0,289
2017/4/5,14:00,6906,0,5304,624,0,96,629,Å|,75,Å|,0,177
2017/4/5,15:00,6838,0,5108,602,0,96,594,Å|,109,Å|,0,329
2017/4/5,16:00,6764,0,5232,591,0,96,428,Å|,129,Å|,0,287
2017/4/5,17:00,6760,0,5232,701,0,97,190,Å|,145,Å|,81,314
2017/4/5,18:00,7009,0,5321,722,0,98,10,Å|,174,Å|,143,541
2017/4/5,19:00,6972,0,5273,724,0,96,0,Å|,127,Å|,184,567
2017/4/5,20:00,6753,0,5118,686,0,96,0,Å|,129,Å|,133,590
2017/4/5,21:00,6458,0,4986,602,0,97,0,Å|,136,Å|,32,606
2017/4/5,22:00,6102,0,4717,546,0,97,0,Å|,138,Å|,0,604
2017/4/5,23:00,5934,0,4589,514,0,98,0,Å|,132,Å|,0,602
2017/4/6,0:00,5965,0,4195,543,0,97,0,Å|,200,Å|,-100,1030
2017/4/6,1:00,6085,0,4119,555,0,98,0,Å|,193,Å|,-37,1158
2017/4/6,2:00,6451,0,4527,581,0,97,0,Å|,187,Å|,1,1058
2017/4/6,3:00,6747,0,4732,613,0,97,0,Å|,192,Å|,176,937
2017/4/6,4:00,6654,0,4741,583,0,99,0,Å|,181,Å|,76,976
2017/4/6,5:00,6408,0,4658,563,0,99,0,Å|,187,Å|,6,895
2017/4/6,6:00,6373,0,4787,576,0,99,65,Å|,194,Å|,0,652
2017/4/6,7:00,6520,0,4801,586,0,98,202,Å|,190,Å|,0,643
2017/4/6,8:00,7076,0,5031,650,0,96,400,Å|,191,Å|,62,647
2017/4/6,9:00,7439,0,5184,592,0,97,607,Å|,195,Å|,177,587
2017/4/6,10:00,7250,0,5119,557,0,97,697,Å|,190,Å|,0,590
2017/4/6,11:00,7312,0,5118,596,0,96,716,Å|,215,Å|,0,571
2017/4/6,12:00,7004,0,4784,597,0,97,631,Å|,207,Å|,-151,840
2017/4/6,13:00,7443,0,5330,598,0,96,592,Å|,193,Å|,109,524
2017/4/6,14:00,7469,0,5362,604,0,96,481,Å|,187,Å|,125,613
2017/4/6,15:00,7309,0,5372,564,0,96,370,Å|,191,Å|,124,591
2017/4/6,16:00,7380,0,5452,654,0,96,189,Å|,186,Å|,219,584
2017/4/6,17:00,7317,0,5426,741,0,97,81,Å|,188,Å|,184,601
2017/4/6,18:00,7402,0,5508,760,0,98,4,Å|,208,Å|,242,582
2017/4/6,19:00,7102,0,5407,753,0,96,0,Å|,196,Å|,69,580
2017/4/6,20:00,6790,0,5153,759,0,97,0,Å|,185,Å|,4,591
2017/4/6,21:00,6530,0,4945,688,0,98,0,Å|,189,Å|,0,609
2017/4/6,22:00,6138,0,4502,670,0,98,0,Å|,177,Å|,0,692
2017/4/6,23:00,5907,0,4255,655,0,99,0,Å|,163,Å|,-1,735
2017/4/7,0:00,5851,0,4058,633,0,101,0,Å|,149,Å|,-164,1075
2017/4/7,1:00,5992,0,4030,625,0,101,0,Å|,112,Å|,0,1124
2017/4/7,2:00,6371,0,4438,636,0,100,0,Å|,81,Å|,10,1106
2017/4/7,3:00,6683,0,4825,644,0,100,0,Å|,67,Å|,15,1032
2017/4/7,4:00,6504,0,4674,624,0,102,0,Å|,58,Å|,0,1046
2017/4/7,5:00,6165,0,4383,633,0,103,0,Å|,33,Å|,0,1013
2017/4/7,6:00,6251,0,4552,647,0,102,57,Å|,19,Å|,0,874
2017/4/7,7:00,6419,0,4600,632,0,101,173,Å|,10,Å|,0,902
2017/4/7,8:00,6852,0,5049,683,0,96,348,Å|,2,Å|,0,673
2017/4/7,9:00,7138,0,5097,743,0,96,453,Å|,1,Å|,0,749
2017/4/7,10:00,6909,0,4744,760,0,96,594,Å|,0,Å|,0,715
2017/4/7,11:00,6869,0,4631,730,0,95,697,Å|,0,Å|,0,716
2017/4/7,12:00,6272,0,4145,687,0,96,733,Å|,0,Å|,-95,706
2017/4/7,13:00,6730,0,4509,708,0,96,713,Å|,0,Å|,-9,713
2017/4/7,14:00,6856,0,4695,717,0,96,625,Å|,1,Å|,0,722
2017/4/7,15:00,6849,0,4879,706,0,96,440,Å|,10,Å|,8,710
2017/4/7,16:00,6848,0,4970,732,0,96,267,Å|,4,Å|,67,713
2017/4/7,17:00,6854,0,5019,765,0,97,105,Å|,5,Å|,171,691
2017/4/7,18:00,6894,0,5120,797,0,98,8,Å|,6,Å|,207,657
2017/4/7,19:00,6703,0,5011,785,0,96,0,Å|,6,Å|,113,693
2017/4/7,20:00,6357,0,4813,770,0,96,0,Å|,8,Å|,9,662
2017/4/7,21:00,6128,0,4567,744,0,97,0,Å|,12,Å|,0,708
2017/4/7,22:00,5857,0,4280,752,0,97,0,Å|,6,Å|,0,722
2017/4/7,23:00,5640,0,4007,728,0,100,0,Å|,5,Å|,0,799
2017/4/8,0:00,5611,0,4263,646,0,101,0,Å|,7,Å|,0,593
2017/4/8,1:00,5695,0,4360,639,0,101,0,Å|,19,Å|,0,576
2017/4/8,2:00,6090,0,4639,704,0,101,0,Å|,12,Å|,0,634
2017/4/8,3:00,6305,0,4760,715,0,101,0,Å|,9,Å|,0,718
2017/4/8,4:00,6222,0,4654,718,0,102,0,Å|,7,Å|,0,740
2017/4/8,5:00,5785,0,4298,697,0,102,0,Å|,5,Å|,0,682
2017/4/8,6:00,5627,0,4121,682,0,102,66,Å|,3,Å|,0,651
2017/4/8,7:00,5736,0,4138,661,0,103,197,Å|,0,Å|,0,636
2017/4/8,8:00,6031,0,4165,687,0,103,455,Å|,3,Å|,0,616
2017/4/8,9:00,6328,0,4344,743,0,103,672,Å|,4,Å|,0,460
2017/4/8,10:00,6387,0,4328,728,0,103,778,Å|,6,Å|,32,411
2017/4/8,11:00,6429,0,4354,684,0,104,805,Å|,7,Å|,124,351
2017/4/8,12:00,6284,0,4247,686,0,105,781,Å|,6,Å|,134,324
2017/4/8,13:00,6302,0,4326,674,0,104,720,Å|,1,Å|,125,352
2017/4/8,14:00,6255,0,4397,691,0,98,579,Å|,1,Å|,123,366
2017/4/8,15:00,6079,0,4310,708,0,93,413,Å|,1,Å|,0,553
2017/4/8,16:00,6096,0,4351,741,0,92,260,Å|,4,Å|,14,634
2017/4/8,17:00,6202,0,4474,763,0,92,114,Å|,2,Å|,163,595
2017/4/8,18:00,6399,0,4643,782,0,92,8,Å|,0,Å|,462,412
2017/4/8,19:00,6350,0,4634,759,0,92,0,Å|,2,Å|,325,538
2017/4/8,20:00,6128,0,4483,734,0,93,0,Å|,5,Å|,140,673
2017/4/8,21:00,5793,0,4226,728,0,92,0,Å|,5,Å|,26,716
2017/4/8,22:00,5533,0,3925,663,0,93,0,Å|,3,Å|,0,849
2017/4/8,23:00,5375,0,3910,652,0,93,0,Å|,2,Å|,11,706
2017/4/9,0:00,5275,0,3956,616,0,93,0,Å|,2,Å|,0,608
2017/4/9,1:00,5365,0,4060,616,0,93,0,Å|,6,Å|,0,590
2017/4/9,2:00,5785,0,4338,659,0,93,0,Å|,5,Å|,34,656
2017/4/9,3:00,6068,0,4333,672,0,92,0,Å|,12,Å|,125,835
2017/4/9,4:00,6005,0,4337,673,0,92,0,Å|,18,Å|,40,845
2017/4/9,5:00,5618,0,4218,625,0,92,0,Å|,10,Å|,13,660
2017/4/9,6:00,5273,0,3884,601,0,92,91,Å|,11,Å|,0,594
2017/4/9,7:00,5258,0,3608,605,0,93,329,Å|,16,Å|,-10,617
2017/4/9,8:00,5293,0,3714,625,0,93,585,Å|,30,Å|,-406,652
2017/4/9,9:00,5402,0,3686,670,0,94,828,Å|,26,Å|,-499,598
2017/4/9,10:00,5316,0,3793,658,0,94,817,Å|,26,Å|,-668,597
2017/4/9,11:00,5272,0,3740,677,0,94,745,Å|,36,Å|,-583,563
2017/4/9,12:00,5288,0,3643,679,0,94,858,Å|,53,Å|,-606,567
2017/4/9,13:00,5445,0,3569,676,0,94,1221,Å|,84,Å|,-787,588
2017/4/9,14:00,5498,0,3824,692,0,94,1049,Å|,107,Å|,-887,619
2017/4/9,15:00,5459,0,3709,669,0,94,768,Å|,112,Å|,-485,592
2017/4/9,16:00,5436,0,3807,664,0,94,408,Å|,114,Å|,-150,500
2017/4/9,17:00,5732,0,4168,720,0,92,149,Å|,106,Å|,-26,523
2017/4/9,18:00,6111,0,4468,753,0,92,13,Å|,106,Å|,50,630
2017/4/9,19:00,6223,0,4558,765,0,92,0,Å|,105,Å|,67,635
2017/4/9,20:00,5977,0,4267,751,0,92,0,Å|,98,Å|,40,729
2017/4/9,21:00,5708,0,4089,671,0,92,0,Å|,108,Å|,0,749
2017/4/9,22:00,5376,0,3881,660,0,93,0,Å|,107,Å|,-11,646
2017/4/9,23:00,5276,0,3846,655,0,93,0,Å|,86,Å|,-1,597
2017/4/10,0:00,5223,0,3788,628,0,94,0,Å|,89,Å|,0,624
2017/4/10,1:00,5304,0,3880,627,0,94,0,Å|,77,Å|,0,626
2017/4/10,2:00,5846,0,4057,662,0,94,0,Å|,62,Å|,10,962
2017/4/10,3:00,6259,0,4260,641,0,93,0,Å|,62,Å|,10,1193
2017/4/10,4:00,6141,0,4198,640,0,93,0,Å|,75,Å|,0,1136
2017/4/10,5:00,6008,0,4219,633,0,93,0,Å|,76,Å|,0,987
2017/4/10,6:00,6188,0,4258,618,0,93,100,Å|,77,Å|,0,1042
2017/4/10,7:00,6276,0,4411,638,0,92,329,Å|,72,Å|,-31,764
2017/4/10,8:00,6748,0,4664,699,0,90,590,Å|,75,Å|,0,630
2017/4/10,9:00,7241,0,5260,737,0,90,667,Å|,90,Å|,43,354
