※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2020/10/1,0:00,2494,0,2252,526,,66,0,0,10,0,0,-360
2020/10/1,1:00,2478,0,2203,469,,67,0,0,6,0,0,-268
2020/10/1,2:00,2617,0,2251,527,,66,0,0,5,0,0,-232
2020/10/1,3:00,2788,0,2239,666,,67,0,0,8,0,0,-192
2020/10/1,4:00,2804,0,2252,709,,66,1,0,8,0,0,-232
2020/10/1,5:00,2744,0,2253,651,,67,1,0,8,0,0,-236
2020/10/1,6:00,2678,0,2268,620,,67,24,0,3,0,0,-304
2020/10/1,7:00,2765,0,2312,612,,66,130,0,1,0,0,-356
2020/10/1,8:00,3053,0,2193,479,,66,377,0,2,0,0,-64
2020/10/1,9:00,3328,0,2288,531,,67,564,0,2,0,0,-124
2020/10/1,10:00,3443,0,2345,577,,66,572,0,3,0,0,-120
2020/10/1,11:00,3444,0,2260,480,,66,571,0,8,0,0,60
2020/10/1,12:00,3277,0,2148,459,,66,655,0,13,0,0,-64
2020/10/1,13:00,3456,0,2328,497,,66,604,0,14,0,0,-52
2020/10/1,14:00,3499,0,2420,471,,66,518,0,12,0,0,12
2020/10/1,15:00,3421,0,2393,566,,65,332,0,14,0,26,24
2020/10/1,16:00,3378,0,2328,716,,66,151,0,12,0,50,56
2020/10/1,17:00,3241,0,2362,782,,67,17,0,8,0,73,-68
2020/10/1,18:00,3205,0,2375,833,,66,0,0,8,0,99,-176
2020/10/1,19:00,3045,0,2322,791,,66,0,0,7,0,51,-192
2020/10/1,20:00,2907,0,2347,651,,66,0,0,5,0,3,-164
2020/10/1,21:00,2797,0,2285,569,,67,0,0,4,0,0,-128
2020/10/1,22:00,2679,0,2271,483,,66,0,0,3,0,0,-144
2020/10/1,23:00,2578,0,2270,452,,67,0,0,2,0,0,-212
2020/10/2,0:00,2470,0,2322,443,,66,0,0,3,0,0,-364
2020/10/2,1:00,2447,0,2367,406,,67,0,0,3,0,0,-396
2020/10/2,2:00,2594,0,2359,442,,66,0,0,3,0,0,-276
