※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2021/11/1,0:00,2307,0,3212,298,,69,0,0,1,0,0,-1272
2021/11/1,1:00,2358,0,3149,292,,68,0,0,2,0,0,-1152
2021/11/1,2:00,2571,0,3111,399,,68,0,0,2,0,-58,-952
2021/11/1,3:00,2782,0,3127,491,,68,0,0,2,0,-122,-784
2021/11/1,4:00,2858,0,3234,386,,68,0,0,1,0,0,-832
2021/11/1,5:00,2880,0,3144,505,,68,0,0,3,0,0,-840
2021/11/1,6:00,2881,0,3113,481,,67,13,0,4,0,0,-796
2021/11/1,7:00,2963,0,3184,387,,67,83,0,2,0,0,-760
2021/11/1,8:00,3181,0,2999,369,,67,245,0,1,0,0,-500
2021/11/1,9:00,3381,0,2816,351,,67,307,0,1,0,0,-160
2021/11/1,10:00,3375,0,2854,276,,66,483,0,0,0,0,-304
2021/11/1,11:00,3376,0,2861,277,,66,496,0,0,0,0,-324
2021/11/1,12:00,3142,0,2602,366,,66,525,0,0,0,0,-416
2021/11/1,13:00,3314,0,2816,362,,66,368,0,1,0,0,-300
2021/11/1,14:00,3341,0,2892,525,,65,271,0,1,0,24,-436
2021/11/1,15:00,3319,0,2982,619,,66,117,0,1,0,98,-564
2021/11/1,16:00,3351,0,3114,746,,65,25,0,1,0,5,-604
2021/11/1,17:00,3356,0,3133,705,,65,1,0,1,0,0,-548
2021/11/1,18:00,3292,0,3105,644,,65,1,0,1,0,0,-524
2021/11/1,19:00,3163,0,3034,505,,66,0,0,3,0,0,-444
2021/11/1,20:00,3055,0,2947,381,,65,0,0,6,0,0,-344
2021/11/1,21:00,2981,0,2953,352,,66,0,0,6,0,0,-396
2021/11/1,22:00,2901,0,2954,286,,67,0,0,3,0,0,-408
2021/11/1,23:00,2806,0,2955,284,,66,0,0,2,0,0,-500
2021/11/2,0:00,2690,0,2932,285,,67,0,0,3,0,0,-596
2021/11/2,1:00,2712,0,2913,249,,66,0,0,4,0,0,-520
2021/11/2,2:00,2953,0,2957,258,,66,0,0,4,0,0,-332
2021/11/2,3:00,3115,0,3068,289,,67,0,0,3,0,0,-312
2021/11/2,4:00,3181,0,3051,365,,66,1,0,3,0,0,-304
2021/11/2,5:00,3128,0,2985,385,,66,0,0,4,0,0,-312
2021/11/2,6:00,3092,0,3008,328,,64,8,0,4,0,0,-320
