※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2021/5/1,0:00,2273,0,1759,1327,,39,0,0,87,0,0,-939
2021/5/1,1:00,2313,0,1749,1270,,37,0,0,84,0,0,-827
2021/5/1,2:00,2523,0,1708,1448,,38,0,0,78,0,0,-750
2021/5/1,3:00,2679,0,1672,1564,,38,0,0,67,0,0,-662
2021/5/1,4:00,2719,0,1714,1595,,39,0,0,65,0,0,-694
2021/5/1,5:00,2612,0,1738,1453,,38,28,0,45,0,0,-690
2021/5/1,6:00,2386,0,1719,1300,,38,156,0,31,0,0,-858
2021/5/1,7:00,2320,0,1506,1382,,38,170,0,16,0,0,-792
2021/5/1,8:00,2421,0,1548,1340,,37,115,0,8,0,0,-627
2021/5/1,9:00,2452,0,1468,1222,,38,287,0,5,0,0,-567
2021/5/1,10:00,2496,0,1578,1255,,38,245,0,15,0,0,-635
2021/5/1,11:00,2491,0,1638,1217,,38,277,0,38,0,0,-717
2021/5/1,12:00,2426,0,1522,1202,,38,608,0,47,0,0,-990
2021/5/1,13:00,2408,0,1472,1279,,37,462,0,55,0,0,-896
2021/5/1,14:00,2442,0,1652,1358,,38,243,0,32,0,0,-881
2021/5/1,15:00,2440,0,1774,1315,,38,107,0,17,0,0,-810
2021/5/1,16:00,2502,0,1815,1346,,38,43,0,13,0,0,-752
2021/5/1,17:00,2554,0,1824,1609,,38,18,0,19,0,0,-953
2021/5/1,18:00,2602,0,1824,1585,,38,4,0,55,0,0,-904
2021/5/1,19:00,2556,0,1830,1511,,37,0,0,53,0,0,-875
2021/5/1,20:00,2469,0,1828,1368,,38,0,0,43,0,0,-808
2021/5/1,21:00,2338,0,1769,1258,,38,0,0,56,0,0,-783
2021/5/1,22:00,2228,0,1725,1247,,38,0,0,69,0,0,-851
2021/5/1,23:00,2184,0,1816,1267,,38,0,0,77,0,0,-1014
2021/5/2,0:00,2103,0,1664,1225,,39,0,0,87,0,0,-911
2021/5/2,1:00,2178,0,1688,1216,,38,0,0,95,0,0,-859
2021/5/2,2:00,2390,0,1796,1267,,38,0,0,95,0,0,-805
2021/5/2,3:00,2541,0,1831,1408,,38,0,0,109,0,0,-846
2021/5/2,4:00,2589,0,1831,1433,,38,0,0,115,0,0,-828
2021/5/2,5:00,2481,0,1735,1438,,38,12,0,107,0,0,-849
2021/5/2,6:00,2286,0,1311,1467,,38,48,0,107,0,0,-685
2021/5/2,7:00,2228,0,1178,1327,,38,55,0,111,0,0,-480
2021/5/2,8:00,2329,0,1014,1517,,38,98,0,99,0,0,-436
2021/5/2,9:00,2427,0,979,1449,,38,150,0,95,0,0,-284
2021/5/2,10:00,2444,0,910,1452,,38,196,0,89,0,0,-241
2021/5/2,11:00,2436,0,950,1462,,38,163,0,88,0,0,-264
2021/5/2,12:00,2457,0,1022,1455,,38,128,0,114,0,0,-299
2021/5/2,13:00,2459,0,1134,1406,,38,111,0,108,0,0,-339
2021/5/2,14:00,2437,0,1110,1365,,38,123,0,111,0,0,-310
2021/5/2,15:00,2448,0,1114,1410,,38,102,0,118,0,0,-333
2021/5/2,16:00,2475,0,1133,1432,,37,96,0,97,0,0,-318
2021/5/2,17:00,2549,0,1150,1621,,37,66,0,59,0,0,-383
2021/5/2,18:00,2659,0,1162,1678,,37,12,0,32,0,0,-262
2021/5/2,19:00,2669,0,1166,1710,,38,0,0,19,0,0,-263
2021/5/2,20:00,2572,0,1165,1710,,38,0,0,17,0,0,-358
2021/5/2,21:00,2447,0,1174,1528,,38,0,0,17,0,0,-309
2021/5/2,22:00,2341,0,1125,1395,,38,0,0,16,0,0,-233
2021/5/2,23:00,2291,0,1137,1404,,37,0,0,9,0,0,-296
2021/5/3,0:00,2200,0,1146,1415,,38,0,0,9,0,0,-408
2021/5/3,1:00,2283,0,1110,1528,,38,0,0,25,0,0,-419
2021/5/3,2:00,2501,0,1147,1608,,38,0,0,49,0,0,-341
2021/5/3,3:00,2668,0,1175,1688,,38,0,0,51,0,32,-317
2021/5/3,4:00,2701,0,1175,1679,,38,0,0,65,0,59,-316
2021/5/3,5:00,2629,0,1180,1618,,38,33,0,76,0,0,-316
2021/5/3,6:00,2414,0,1157,1455,,38,174,0,73,0,0,-484
2021/5/3,7:00,2250,0,1052,1343,,38,354,0,70,0,0,-607
2021/5/3,8:00,2248,0,892,1385,,38,441,0,67,0,0,-574
2021/5/3,9:00,2319,0,862,1311,,37,554,0,74,0,0,-518
2021/5/3,10:00,2297,0,786,1206,,38,753,0,78,0,0,-563
2021/5/3,11:00,2338,0,907,1254,,38,681,0,86,0,-116,-512
2021/5/3,12:00,2319,0,990,1360,,38,433,0,88,0,-120,-470
2021/5/3,13:00,2289,0,923,1181,,37,398,0,91,0,-2,-339
2021/5/3,14:00,2235,0,873,1181,,38,403,0,86,0,0,-346
2021/5/3,15:00,2177,0,833,1231,,38,389,0,75,0,0,-389
2021/5/3,16:00,2206,0,964,1370,,38,312,0,64,0,0,-542
2021/5/3,17:00,2299,0,1050,1513,,38,145,0,44,0,2,-494
2021/5/3,18:00,2393,0,1106,1612,,38,21,0,35,0,61,-480
2021/5/3,19:00,2449,0,1134,1659,,38,0,0,31,0,15,-428
2021/5/3,20:00,2392,0,1149,1578,,38,0,0,29,0,0,-401
2021/5/3,21:00,2290,0,1150,1515,,38,0,0,29,0,0,-442
2021/5/3,22:00,2195,0,1152,1390,,38,0,0,32,0,0,-416
2021/5/3,23:00,2151,0,1156,1405,,39,0,0,40,0,0,-489
2021/5/4,0:00,2089,0,1169,1252,,38,0,0,46,0,0,-416
2021/5/4,1:00,2179,0,1167,1312,,38,0,0,48,0,0,-387
2021/5/4,2:00,2403,0,1169,1512,,37,0,0,44,0,0,-359
2021/5/4,3:00,2566,0,1170,1628,,38,0,0,44,0,0,-314
2021/5/4,4:00,2604,0,1158,1707,,38,0,0,42,0,0,-341
2021/5/4,5:00,2520,0,1092,1632,,38,35,0,49,0,32,-358
2021/5/4,6:00,2311,0,1036,1469,,38,176,0,44,0,59,-511
2021/5/4,7:00,2149,0,982,1269,,38,377,0,27,0,0,-543
2021/5/4,8:00,2127,0,882,1178,,38,588,0,27,0,0,-585
2021/5/4,9:00,2150,0,790,1174,,37,753,0,36,0,0,-639
2021/5/4,10:00,2194,0,748,1137,,38,878,0,42,0,0,-648
2021/5/4,11:00,2232,0,764,1217,,38,952,0,31,0,-116,-653
2021/5/4,12:00,2228,0,760,1138,,38,957,0,21,0,-6,-679
2021/5/4,13:00,2187,0,750,1117,,37,908,0,19,0,0,-643
2021/5/4,14:00,2151,0,844,1152,,38,763,0,13,0,0,-659
2021/5/4,15:00,2129,0,857,1188,,38,560,0,12,0,0,-526
2021/5/4,16:00,2160,0,1036,1318,,38,319,0,8,0,0,-558
2021/5/4,17:00,2221,0,1125,1405,,38,111,0,4,0,0,-461
2021/5/4,18:00,2296,0,1154,1500,,38,15,0,7,0,0,-416
2021/5/4,19:00,2324,0,1240,1583,,38,0,0,7,0,0,-544
2021/5/4,20:00,2248,0,1372,1477,,38,0,0,25,0,0,-665
2021/5/4,21:00,2150,0,1619,1377,,38,0,0,46,0,0,-930
2021/5/4,22:00,2085,0,1717,1268,,38,0,0,50,0,0,-988
2021/5/4,23:00,2040,0,1723,1277,,38,0,0,36,0,0,-1035
2021/5/5,0:00,2020,0,1765,1279,,38,0,0,37,0,0,-1100
2021/5/5,1:00,2101,0,1734,1277,,38,0,0,38,0,0,-986
2021/5/5,2:00,2315,0,1726,1329,,38,0,0,50,0,0,-828
2021/5/5,3:00,2445,0,1673,1579,,38,0,0,56,0,0,-901
2021/5/5,4:00,2483,0,1672,1591,,38,0,0,47,0,0,-865
2021/5/5,5:00,2346,0,1654,1545,,38,12,0,49,0,0,-952
2021/5/5,6:00,2143,0,1677,1263,,38,54,0,60,0,0,-950
2021/5/5,7:00,2119,0,1719,1320,,38,58,0,75,0,0,-1091
2021/5/5,8:00,2236,0,1829,1343,,38,64,0,83,0,0,-1120
2021/5/5,9:00,2363,0,1829,1371,,38,83,0,92,0,0,-1049
2021/5/5,10:00,2414,0,1828,1314,,38,93,0,91,0,0,-950
2021/5/5,11:00,2429,0,1831,1206,,38,108,0,87,0,0,-840
2021/5/5,12:00,2423,0,1820,1256,,38,88,0,82,0,0,-859
2021/5/5,13:00,2419,0,1737,1182,,38,78,0,82,0,0,-698
2021/5/5,14:00,2398,0,1726,1244,,38,57,0,90,0,0,-757
2021/5/5,15:00,2397,0,1737,1345,,38,41,0,108,0,0,-872
2021/5/5,16:00,2440,0,1601,1545,,38,28,0,112,0,0,-884
2021/5/5,17:00,2505,0,1699,1662,,38,18,0,94,0,0,-1006
2021/5/5,18:00,2564,0,1644,1690,,38,5,0,67,0,52,-930
2021/5/5,19:00,2545,0,1633,1617,,38,1,0,60,0,99,-902
2021/5/5,20:00,2453,0,1636,1518,,38,0,0,42,0,0,-781
2021/5/5,21:00,2331,0,1556,1562,,38,0,0,32,0,0,-856
2021/5/5,22:00,2246,0,1627,1513,,38,0,0,20,0,0,-952
2021/5/5,23:00,2172,0,1628,1399,,38,0,0,15,0,0,-908
2021/5/6,0:00,2129,0,1546,1242,,38,0,0,11,0,0,-708
2021/5/6,1:00,2239,0,1581,1316,,39,0,0,12,0,0,-709
2021/5/6,2:00,2485,0,1624,1460,,38,0,0,9,0,0,-646
2021/5/6,3:00,2623,0,1619,1535,,38,0,0,7,0,0,-576
2021/5/6,4:00,2671,0,1615,1665,,40,1,0,8,0,0,-657
2021/5/6,5:00,2621,0,1580,1615,,38,40,0,9,0,0,-661
2021/5/6,6:00,2509,0,1563,1363,,39,192,0,6,0,0,-653
2021/5/6,7:00,2469,0,1485,1163,,38,405,0,2,0,0,-623
2021/5/6,8:00,2732,0,1308,1196,,38,640,0,1,0,0,-452
2021/5/6,9:00,2937,0,1192,1233,,38,813,0,2,0,0,-341
2021/5/6,10:00,3020,0,1105,1259,,38,960,0,7,0,0,-348
2021/5/6,11:00,3062,0,1148,1277,,38,996,0,10,0,-116,-292
2021/5/6,12:00,2912,0,1133,1177,,39,995,0,6,0,-104,-334
2021/5/6,13:00,3030,0,1156,1206,,38,935,0,5,0,0,-309
2021/5/6,14:00,2997,0,1238,1235,,39,787,0,2,0,0,-304
2021/5/6,15:00,2938,0,1286,1268,,39,600,0,1,0,0,-256
2021/5/6,16:00,2953,0,1489,1417,,40,355,0,0,0,0,-348
2021/5/6,17:00,2850,0,1607,1470,,39,109,0,1,0,4,-380
2021/5/6,18:00,2849,0,1588,1646,,39,14,0,1,0,99,-537
2021/5/6,19:00,2821,0,1588,1626,,40,0,0,0,0,99,-532
2021/5/6,20:00,2766,0,1621,1591,,41,0,0,1,0,6,-493
2021/5/6,21:00,2648,0,1558,1581,,40,0,0,3,0,0,-534
2021/5/6,22:00,2575,0,1581,1409,,39,0,0,7,0,0,-462
2021/5/6,23:00,2502,0,1632,1335,,41,0,0,5,0,0,-510
2021/5/7,0:00,2410,0,1610,1248,,41,0,0,9,0,0,-496
2021/5/7,1:00,2497,0,1578,1375,,41,0,0,11,0,0,-507
2021/5/7,2:00,2727,0,1521,1654,,40,0,0,19,0,0,-507
2021/5/7,3:00,2844,0,1584,1600,,42,0,0,17,0,0,-398
2021/5/7,4:00,2857,0,1517,1391,,41,0,0,12,0,0,-105
2021/5/7,5:00,2767,0,1527,1511,,40,28,0,13,0,0,-352
2021/5/7,6:00,2652,0,1422,1452,,40,121,0,16,0,0,-399
2021/5/7,7:00,2655,0,1268,1476,,40,207,0,19,0,0,-355
2021/5/7,8:00,2935,0,1339,1669,,40,178,0,18,0,0,-308
2021/5/7,9:00,3112,0,1355,1511,,39,200,0,18,0,0,-10
2021/5/7,10:00,3119,0,1360,1306,,40,254,0,12,0,0,146
2021/5/7,11:00,3143,0,1454,1295,,40,238,0,14,0,0,102
2021/5/7,12:00,2977,0,1543,1251,,39,207,0,16,0,0,-79
2021/5/7,13:00,3105,0,1492,1260,,40,170,0,30,0,0,113
2021/5/7,14:00,3086,0,1388,1464,,39,252,0,36,0,0,-92
2021/5/7,15:00,3012,0,1341,1454,,40,378,0,56,0,0,-257
2021/5/7,16:00,3011,0,1358,1374,,39,352,0,66,0,0,-177
