※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/7/1,0:00,2614,0,1619,990,,59,0,0,48,0,0,-101
2023/7/1,1:00,2544,0,1468,990,,59,0,0,50,0,0,-22
2023/7/1,2:00,2619,0,1441,1003,,59,0,0,33,0,0,84
2023/7/1,3:00,2719,0,1470,1021,,59,0,0,22,0,0,147
2023/7/1,4:00,2712,0,1627,927,,59,1,0,13,0,0,86
2023/7/1,5:00,2611,0,1612,883,,58,9,0,15,0,0,35
2023/7/1,6:00,2491,0,1554,871,,59,30,0,13,0,0,-36
2023/7/1,7:00,2525,0,1478,904,,57,59,0,9,0,0,19
2023/7/1,8:00,2702,0,1757,952,,58,126,0,6,0,0,-198
2023/7/1,9:00,2881,0,1925,1060,,58,147,0,7,0,0,-314
2023/7/1,10:00,2930,0,1899,1082,,57,144,0,5,0,0,-257
2023/7/1,11:00,2947,0,1890,1142,,58,148,0,5,0,0,-295
2023/7/1,12:00,2851,0,1839,1054,,58,168,0,7,0,0,-274
2023/7/1,13:00,2865,0,1700,999,,58,142,0,2,0,0,-36
2023/7/1,14:00,2839,0,1593,898,,57,100,0,2,0,0,190
2023/7/1,15:00,2808,0,1478,952,,57,110,0,1,0,0,211
2023/7/1,16:00,2798,0,1384,1061,,59,55,0,1,0,0,240
2023/7/1,17:00,2775,0,1367,1056,,58,24,0,3,0,0,267
2023/7/1,18:00,2765,0,1478,939,,59,9,0,3,0,0,277
2023/7/1,19:00,2715,0,1552,792,,59,1,0,4,0,0,309
2023/7/1,20:00,2596,0,1440,837,,59,1,0,3,0,0,257
2023/7/1,21:00,2487,0,1424,822,,59,0,0,1,0,0,181
2023/7/1,22:00,2449,0,1450,848,,59,0,0,1,0,0,91
2023/7/1,23:00,2376,0,1513,876,,59,0,0,1,0,0,-72
2023/7/2,0:00,2265,0,1595,852,,59,0,0,2,0,0,-243
2023/7/2,1:00,2214,0,1642,824,,59,0,0,0,0,0,-311
2023/7/2,2:00,2346,0,1675,930,,59,0,0,1,0,0,-318
2023/7/2,3:00,2426,0,1707,984,,59,0,0,1,0,0,-324
2023/7/2,4:00,2459,0,1728,962,,59,1,0,1,0,0,-292
2023/7/2,5:00,2400,0,1626,977,,59,28,0,1,0,0,-290
2023/7/2,6:00,2265,0,1380,974,,59,128,0,0,0,0,-276
2023/7/2,7:00,2274,0,1346,983,,58,275,0,0,0,0,-387
2023/7/2,8:00,2384,0,1377,920,,58,368,0,6,0,0,-345
2023/7/2,9:00,2548,0,1370,859,,57,531,0,12,0,0,-281
2023/7/2,10:00,2628,0,1381,924,,58,659,0,25,0,0,-419
2023/7/2,11:00,2681,0,1202,963,,58,812,0,33,0,0,-386
2023/7/2,12:00,2796,0,1062,974,,59,944,0,30,0,0,-272
2023/7/2,13:00,2788,0,980,978,,57,866,0,32,0,0,-126
2023/7/2,14:00,2801,0,1197,1056,,57,821,0,38,0,0,-368
2023/7/2,15:00,2781,0,1435,1215,,57,621,0,27,0,0,-574
2023/7/2,16:00,2777,0,1586,1240,,58,429,0,21,0,0,-556
2023/7/2,17:00,2824,0,1671,1311,,58,245,0,15,0,0,-475
2023/7/2,18:00,2827,0,1717,1408,,58,66,0,13,0,0,-434
2023/7/2,19:00,2774,0,1660,1417,,58,3,0,21,0,0,-385
2023/7/2,20:00,2671,0,1650,1346,,57,1,0,22,0,0,-404
2023/7/2,21:00,2556,0,1590,1262,,59,0,0,20,0,0,-374
2023/7/2,22:00,2451,0,1534,1128,,58,0,0,15,0,0,-283
2023/7/2,23:00,2371,0,1615,1112,,59,0,0,20,0,0,-433
2023/7/3,0:00,2257,0,1389,1075,,59,0,0,13,0,0,-278
2023/7/3,1:00,2215,0,1308,1055,,58,0,0,19,0,0,-224
2023/7/3,2:00,2326,0,1386,1107,,59,0,0,21,0,0,-246
2023/7/3,3:00,2459,0,1335,1238,,58,0,0,23,0,0,-194
2023/7/3,4:00,2513,0,1175,1198,,59,2,0,24,0,0,56
2023/7/3,5:00,2476,0,1100,1196,,60,45,0,12,0,0,65
2023/7/3,6:00,2490,0,1025,1164,,60,165,0,7,0,0,70
2023/7/3,7:00,2732,0,1210,1121,,59,348,0,4,0,0,-9
2023/7/3,8:00,3254,0,1448,1069,,59,554,0,2,0,0,123
2023/7/3,9:00,3682,0,1665,1070,,59,740,0,3,0,0,146
2023/7/3,10:00,3859,0,1732,1083,,59,923,0,1,0,0,61
2023/7/3,11:00,3962,0,1887,1095,,58,978,0,2,0,0,-58
2023/7/3,12:00,3870,0,1933,1030,,59,1054,0,5,0,0,-209
2023/7/3,13:00,4016,0,2075,1061,,59,975,0,9,0,0,-162
2023/7/3,14:00,4002,0,2225,1194,,58,811,0,7,0,0,-292
2023/7/3,15:00,3910,0,2185,1166,,59,651,0,6,0,0,-155
2023/7/3,16:00,3853,0,2326,1261,,59,465,0,5,0,0,-262
2023/7/3,17:00,3637,0,2275,1372,,59,243,0,7,0,0,-317
2023/7/3,18:00,3459,0,2264,1396,,60,62,0,12,0,0,-334
2023/7/3,19:00,3284,0,2112,1356,,60,3,0,11,0,0,-257
2023/7/3,20:00,3134,0,2015,1271,,59,1,0,12,0,0,-222
2023/7/3,21:00,2970,0,1846,1143,,60,0,0,10,0,0,-89
2023/7/3,22:00,2889,0,1603,1074,,60,0,0,10,0,0,142
2023/7/3,23:00,2777,0,1644,1117,,60,0,0,11,0,0,-54
2023/7/4,0:00,2630,0,1431,1075,,61,0,0,8,0,0,55
2023/7/4,1:00,2588,0,1288,1023,,59,0,0,8,0,0,209
2023/7/4,2:00,2672,0,1325,1092,,59,0,0,12,0,0,184
2023/7/4,3:00,2797,0,1375,1226,,60,0,0,14,0,0,122
2023/7/4,4:00,2824,0,1285,1297,,59,2,0,14,0,0,166
2023/7/4,5:00,2791,0,1268,1297,,60,36,0,10,0,0,120
2023/7/4,6:00,2772,0,1269,1194,,60,178,0,7,0,0,65
2023/7/4,7:00,2933,0,1266,1015,,59,442,0,6,0,0,145
2023/7/4,8:00,3408,0,1407,1007,,60,746,0,3,0,0,186
2023/7/4,9:00,3789,0,1566,1090,,59,963,0,2,0,0,110
2023/7/4,10:00,3923,0,1650,1049,,59,1096,0,3,0,0,68
2023/7/4,11:00,4003,0,1830,1091,,58,1145,0,2,0,0,-122
2023/7/4,12:00,3824,0,1751,1001,,58,1142,0,3,0,0,-131
2023/7/4,13:00,3967,0,1777,1004,,58,1088,0,3,0,0,38
2023/7/4,14:00,3975,0,1762,1116,,58,967,0,5,0,0,67
2023/7/4,15:00,3915,0,2130,1222,,58,764,0,12,0,3,-272
2023/7/4,16:00,3860,0,2340,1352,,58,502,0,16,0,101,-509
2023/7/4,17:00,3614,0,2261,1376,,60,242,0,16,0,99,-439
2023/7/4,18:00,3408,0,2318,1394,,59,60,0,16,0,0,-439
2023/7/4,19:00,3262,0,2334,1322,,59,3,0,24,0,0,-478
2023/7/4,20:00,3116,0,2166,1163,,60,1,0,41,0,0,-314
2023/7/4,21:00,2974,0,2140,1078,,60,0,0,44,0,0,-347
2023/7/4,22:00,2897,0,2045,1016,,59,0,0,48,0,0,-272
2023/7/4,23:00,2795,0,1935,989,,60,0,0,54,0,0,-242
2023/7/5,0:00,2627,0,1601,963,,60,0,0,56,0,0,-53
2023/7/5,1:00,2581,0,1334,920,,60,0,0,53,0,0,214
2023/7/5,2:00,2655,0,1298,965,,59,0,0,45,0,0,288
2023/7/5,3:00,2777,0,1291,1024,,60,0,0,41,0,0,362
2023/7/5,4:00,2799,0,1302,981,,59,4,0,23,0,0,430
2023/7/5,5:00,2792,0,1313,991,,60,51,0,24,0,0,355
2023/7/5,6:00,2775,0,1340,996,,59,81,0,31,0,0,270
