※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2020/4/1,0:00,2926,0,2236,1191,,72,0,0,2,0,0,-575
2020/4/1,1:00,3039,0,2302,1273,,71,0,0,4,0,0,-612
2020/4/1,2:00,3271,0,2373,1453,,72,0,0,4,0,0,-631
2020/4/1,3:00,3436,0,2474,1514,,73,0,0,4,0,0,-629
2020/4/1,4:00,3447,0,2627,1410,,72,0,0,8,0,0,-670
2020/4/1,5:00,3333,0,2759,1323,,72,2,0,11,0,0,-834
2020/4/1,6:00,3206,0,2668,1379,,72,25,0,19,0,0,-958
2020/4/1,7:00,3161,0,2625,1359,,72,60,0,16,0,0,-970
2020/4/1,8:00,3429,0,2571,1344,,72,121,0,16,0,0,-695
2020/4/1,9:00,3592,0,2397,1476,,72,179,0,15,0,30,-575
2020/4/1,10:00,3614,0,2317,1605,,71,160,0,12,0,19,-570
2020/4/1,11:00,3625,0,2408,1569,,72,136,0,10,0,0,-570
2020/4/1,12:00,3423,0,2578,1448,,68,104,0,9,0,0,-784
2020/4/1,13:00,3623,0,2714,1452,,65,91,0,12,0,0,-710
2020/4/1,14:00,3647,0,2802,1462,,64,61,0,23,0,0,-765
2020/4/1,15:00,3616,0,2756,1506,,65,41,0,29,0,0,-781
2020/4/1,16:00,3629,0,2839,1628,,65,22,0,36,0,1,-963
2020/4/1,17:00,3555,0,2740,1635,,66,6,0,50,0,74,-1017
2020/4/1,18:00,3560,0,2716,1656,,70,1,0,69,0,75,-1026
2020/4/1,19:00,3453,0,2658,1678,,72,0,0,83,0,75,-1112
2020/4/1,20:00,3345,0,2601,1691,,72,0,0,94,0,75,-1187
2020/4/1,21:00,3241,0,2536,1659,,72,0,0,103,0,6,-1136
2020/4/1,22:00,3210,0,2451,1645,,72,0,0,104,0,0,-1061
2020/4/1,23:00,3165,0,2390,1649,,72,0,0,93,0,0,-1039
2020/4/2,0:00,3052,0,2074,1659,,71,0,0,72,0,0,-824
2020/4/2,1:00,3155,0,2202,1650,,72,0,0,59,0,0,-828
2020/4/2,2:00,3392,0,2478,1645,,72,0,0,47,0,0,-849
2020/4/2,3:00,3520,0,2607,1643,,72,0,0,45,0,0,-846
2020/4/2,4:00,3577,0,2642,1636,,72,0,0,52,0,0,-824
2020/4/2,5:00,3506,0,2566,1632,,72,1,0,63,0,0,-827
2020/4/2,6:00,3420,0,2416,1653,,72,26,0,53,0,0,-799
2020/4/2,7:00,3423,0,2312,1651,,71,85,0,46,0,0,-742
2020/4/2,8:00,3723,0,2464,1684,,72,143,0,41,0,0,-682
2020/4/2,9:00,3950,0,2583,1689,,65,134,0,58,0,0,-579
2020/4/2,10:00,3969,0,2279,1719,,65,218,0,62,0,0,-374
2020/4/2,11:00,3914,0,1888,1680,,64,373,0,69,0,0,-159
2020/4/2,12:00,3620,0,1646,1594,,66,554,0,60,0,0,-300
2020/4/2,13:00,3733,0,1593,1599,,65,572,0,48,0,0,-143
