※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2022/5/1,0:00,2171,0,936,1501,,80,0,0,2,0,0,-348
2022/5/1,1:00,2235,0,808,1373,,80,0,0,1,0,0,-28
2022/5/1,2:00,2426,0,660,1571,,81,0,0,6,0,0,108
2022/5/1,3:00,2576,0,648,1705,,80,0,0,15,0,0,128
2022/5/1,4:00,2608,0,551,1781,,81,0,0,17,0,0,179
2022/5/1,5:00,2481,0,458,1764,,80,4,0,12,0,0,164
2022/5/1,6:00,2296,0,446,1503,,81,18,0,4,0,0,245
2022/5/1,7:00,2267,0,380,1420,,80,40,0,4,0,0,343
2022/5/1,8:00,2326,0,353,1492,,80,72,0,3,0,0,327
2022/5/1,9:00,2404,0,366,1557,,80,89,0,1,0,0,310
2022/5/1,10:00,2441,0,455,1520,,80,86,0,1,0,0,300
2022/5/1,11:00,2458,0,469,1468,,81,96,0,0,0,0,344
2022/5/1,12:00,2454,0,485,1469,,80,97,0,0,0,0,323
2022/5/1,13:00,2358,0,364,1402,,80,177,0,0,0,0,334
2022/5/1,14:00,2308,0,288,1382,,81,272,0,1,0,0,284
2022/5/1,15:00,2351,0,338,1538,,80,150,0,1,0,0,245
2022/5/1,16:00,2415,0,464,1536,,80,53,0,1,0,0,281
2022/5/1,17:00,2534,0,613,1563,,81,56,0,0,0,0,221
2022/5/1,18:00,2601,0,703,1601,,80,22,0,3,0,0,192
2022/5/1,19:00,2614,0,706,1812,,80,0,0,7,0,0,9
2022/5/1,20:00,2541,0,703,1850,,80,0,0,8,0,0,-100
2022/5/1,21:00,2432,0,706,1786,,80,0,0,10,0,0,-150
2022/5/1,22:00,2302,0,706,1543,,81,0,0,12,0,0,-40
2022/5/1,23:00,2221,0,612,1366,,80,0,0,12,0,0,150
2022/5/2,0:00,2137,0,518,1363,,81,0,0,8,0,0,166
2022/5/2,1:00,2232,0,526,1585,,80,0,0,5,0,0,35
2022/5/2,2:00,2446,0,551,1743,,81,0,0,3,0,0,67
2022/5/2,3:00,2614,0,580,1916,,80,0,0,6,0,0,31
2022/5/2,4:00,2665,0,698,1854,,81,0,0,5,0,0,26
2022/5/2,5:00,2635,0,694,1780,,80,31,0,3,0,0,47
2022/5/2,6:00,2542,0,664,1496,,81,178,0,4,0,0,120
2022/5/2,7:00,2409,0,587,1386,,80,391,0,3,0,0,-39
2022/5/2,8:00,2461,0,564,1380,,81,664,0,3,0,0,-230
2022/5/2,9:00,2514,0,516,1349,,80,873,0,4,0,0,-307
2022/5/2,10:00,2551,0,557,1366,,78,889,0,10,0,0,-349
2022/5/2,11:00,2610,0,778,1488,,80,651,0,8,0,0,-395
2022/5/2,12:00,2497,0,772,1352,,81,540,0,8,0,0,-255
2022/5/2,13:00,2486,0,580,1232,,80,658,0,12,0,0,-75
2022/5/2,14:00,2482,0,567,1328,,80,712,0,18,0,0,-221
2022/5/2,15:00,2445,0,662,1445,,80,506,0,14,0,0,-263
2022/5/2,16:00,2433,0,694,1415,,80,314,0,24,0,0,-94
2022/5/2,17:00,2475,0,750,1454,,80,142,0,33,0,1,15
2022/5/2,18:00,2552,0,760,1730,,80,20,0,23,0,50,-112
2022/5/2,19:00,2593,0,760,1715,,81,0,0,13,0,50,-26
2022/5/2,20:00,2514,0,765,1557,,80,0,0,9,0,0,104
2022/5/2,21:00,2405,0,764,1483,,80,0,0,15,0,0,63
2022/5/2,22:00,2281,0,751,1426,,80,0,0,19,0,0,6
2022/5/2,23:00,2217,0,744,1323,,80,0,0,22,0,0,47
2022/5/3,0:00,2114,0,720,1298,,80,0,0,19,0,0,-3
2022/5/3,1:00,2185,0,745,1392,,81,0,0,17,0,0,-49
2022/5/3,2:00,2402,0,636,1506,,80,0,0,11,0,1,168
2022/5/3,3:00,2553,0,723,1606,,80,0,0,5,0,89,50
2022/5/3,4:00,2603,0,750,1689,,81,0,0,4,0,89,-11
2022/5/3,5:00,2524,0,748,1734,,80,37,0,5,0,71,-151
2022/5/3,6:00,2347,0,751,1439,,80,200,0,5,0,0,-128
2022/5/3,7:00,2193,0,666,1376,,81,382,0,2,0,0,-315
2022/5/3,8:00,2211,0,597,1435,,80,547,0,5,0,0,-453
2022/5/3,9:00,2269,0,562,1387,,80,739,0,16,0,0,-515
2022/5/3,10:00,2276,0,653,1304,,80,877,0,18,0,-120,-535
2022/5/3,11:00,2278,0,635,1268,,80,959,0,18,0,-121,-560
2022/5/3,12:00,2232,0,587,1273,,80,969,0,18,0,-120,-575
2022/5/3,13:00,2205,0,577,1284,,80,943,0,16,0,-120,-575
2022/5/3,14:00,2155,0,570,1288,,80,835,0,13,0,-60,-570
2022/5/3,15:00,2125,0,645,1280,,80,639,0,10,0,0,-529
2022/5/3,16:00,2176,0,744,1420,,80,404,0,9,0,0,-481
2022/5/3,17:00,2272,0,746,1558,,80,167,0,7,0,0,-286
2022/5/3,18:00,2344,0,749,1663,,81,21,0,13,0,1,-183
2022/5/3,19:00,2412,0,751,1639,,80,0,0,24,0,50,-131
