※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2020/5/1,0:00,2271,0,1585,1028,,71,0,0,25,0,0,-438
2020/5/1,1:00,2371,0,1647,1013,,71,0,0,34,0,0,-394
2020/5/1,2:00,2594,0,1636,1296,,71,0,0,46,0,0,-455
2020/5/1,3:00,2738,0,1627,1420,,70,0,0,61,0,27,-466
2020/5/1,4:00,2751,0,1583,1437,,71,0,0,67,0,74,-481
2020/5/1,5:00,2603,0,1584,1380,,68,15,0,63,0,0,-507
2020/5/1,6:00,2436,0,1640,1119,,59,82,0,61,0,0,-525
2020/5/1,7:00,2388,0,1454,993,,53,184,0,68,0,0,-363
2020/5/1,8:00,2578,0,1533,1063,,50,232,0,74,0,0,-373
2020/5/1,9:00,2679,0,1640,934,,38,274,0,75,0,0,-281
2020/5/1,10:00,2649,0,1387,813,,38,481,0,75,0,0,-145
2020/5/1,11:00,2684,0,1229,866,,38,629,0,82,0,0,-160
2020/5/1,12:00,2566,0,1155,843,,39,665,0,82,0,0,-217
2020/5/1,13:00,2613,0,1070,895,,38,677,0,74,0,0,-141
2020/5/1,14:00,2590,0,1064,919,,39,627,0,61,0,0,-120
2020/5/1,15:00,2553,0,1145,952,,38,495,0,59,0,0,-136
2020/5/1,16:00,2536,0,1234,1163,,38,308,0,53,0,0,-260
2020/5/1,17:00,2479,0,1259,1290,,38,124,0,49,0,0,-280
2020/5/1,18:00,2474,0,1411,1509,,39,16,0,45,0,0,-546
2020/5/1,19:00,2440,0,1432,1499,,38,1,0,40,0,1,-570
2020/5/1,20:00,2324,0,1347,1308,,39,0,0,36,0,50,-455
2020/5/1,21:00,2240,0,1331,1232,,39,0,0,48,0,50,-460
2020/5/1,22:00,2125,0,1258,1180,,38,0,0,62,0,50,-462
2020/5/1,23:00,2103,0,1175,1182,,38,0,0,57,0,0,-349
2020/5/2,0:00,2065,0,1147,1153,,38,0,0,61,0,0,-333
2020/5/2,1:00,2176,0,1168,1166,,38,0,0,63,0,0,-259
2020/5/2,2:00,2398,0,1287,1270,,38,0,0,61,0,1,-259
2020/5/2,3:00,2503,0,1180,1464,,38,0,0,59,0,50,-288
2020/5/2,4:00,2485,0,1348,1471,,38,0,0,68,0,0,-441
2020/5/2,5:00,2287,0,1370,1186,,37,29,0,73,0,0,-408
2020/5/2,6:00,2090,0,1260,998,,38,159,0,70,0,0,-434
2020/5/2,7:00,1992,0,898,943,,38,347,0,63,0,0,-296
2020/5/2,8:00,2051,0,719,987,,39,551,0,65,0,0,-310
2020/5/2,9:00,2140,0,620,961,,38,716,0,67,0,-28,-232
2020/5/2,10:00,2190,0,718,944,,38,827,0,56,0,-120,-273
2020/5/2,11:00,2248,0,765,987,,37,876,0,54,0,-120,-352
2020/5/2,12:00,2220,0,710,944,,38,871,0,52,0,-120,-275
2020/5/2,13:00,2200,0,650,902,,38,826,0,55,0,0,-271
2020/5/2,14:00,2156,0,667,929,,38,705,0,58,0,0,-240
2020/5/2,15:00,2128,0,792,957,,37,522,0,47,0,0,-228
2020/5/2,16:00,2126,0,1054,1069,,39,293,0,27,0,0,-355
2020/5/2,17:00,2146,0,1076,1180,,38,105,0,20,0,1,-276
2020/5/2,18:00,2178,0,1141,1325,,39,19,0,13,0,50,-409
2020/5/2,19:00,2183,0,1124,1434,,38,1,0,16,0,50,-478
2020/5/2,20:00,2088,0,1067,1413,,38,0,0,12,0,26,-468
2020/5/2,21:00,2002,0,1121,1323,,39,0,0,12,0,0,-492
2020/5/2,22:00,1922,0,1079,1223,,38,0,0,14,0,0,-431
2020/5/2,23:00,1895,0,927,1278,,38,0,0,13,0,0,-361
2020/5/3,0:00,1879,0,839,1138,,38,0,0,11,0,0,-147
2020/5/3,1:00,1973,0,722,1301,,38,0,0,6,0,0,-95
2020/5/3,2:00,2199,0,782,1480,,38,0,0,5,0,0,-107
2020/5/3,3:00,2316,0,863,1511,,38,0,0,3,0,0,-99
2020/5/3,4:00,2284,0,952,1377,,38,0,0,1,0,0,-85
2020/5/3,5:00,2083,0,886,1245,,38,28,0,0,0,0,-114
2020/5/3,6:00,1895,0,700,1189,,38,137,0,0,0,0,-169
2020/5/3,7:00,1826,0,717,1088,,38,280,0,0,0,0,-297
2020/5/3,8:00,1874,0,783,1022,,38,376,0,0,0,0,-345
2020/5/3,9:00,1911,0,756,982,,37,458,0,1,0,0,-322
2020/5/3,10:00,1958,0,751,966,,38,572,0,2,0,0,-371
2020/5/3,11:00,1975,0,715,983,,38,578,0,8,0,0,-348
2020/5/3,12:00,2022,0,855,998,,37,468,0,7,0,0,-342
2020/5/3,13:00,1973,0,933,1026,,38,317,0,4,0,0,-346
2020/5/3,14:00,1947,0,1017,1030,,37,198,0,1,0,0,-336
2020/5/3,15:00,1919,0,959,1016,,38,219,0,3,0,0,-316
2020/5/3,16:00,1975,0,1034,1013,,38,177,0,6,0,0,-293
2020/5/3,17:00,2062,0,1123,1093,,38,69,0,9,0,0,-271
2020/5/3,18:00,2143,0,1155,1304,,38,8,0,7,0,26,-394
2020/5/3,19:00,2128,0,1058,1464,,38,0,0,7,0,25,-464
2020/5/3,20:00,2039,0,1034,1412,,38,0,0,9,0,0,-453
2020/5/3,21:00,1945,0,1034,1263,,38,0,0,15,0,0,-405
2020/5/3,22:00,1849,0,954,1186,,37,0,0,14,0,0,-342
2020/5/3,23:00,1841,0,916,1153,,39,0,0,20,0,0,-287
2020/5/4,0:00,1833,0,892,1025,,38,0,0,23,0,0,-145
2020/5/4,1:00,1931,0,827,1116,,39,0,0,26,0,0,-78
2020/5/4,2:00,2135,0,874,1273,,38,0,0,20,0,0,-71
2020/5/4,3:00,2273,0,889,1402,,39,0,0,19,0,0,-76
2020/5/4,4:00,2245,0,900,1353,,39,1,0,20,0,0,-67
2020/5/4,5:00,2068,0,968,1211,,38,21,0,17,0,0,-187
2020/5/4,6:00,1888,0,982,1082,,38,108,0,12,0,0,-334
2020/5/4,7:00,1815,0,861,1013,,37,252,0,12,0,0,-360
2020/5/4,8:00,1866,0,670,981,,38,546,0,16,0,0,-384
2020/5/4,9:00,1940,0,548,947,,38,737,0,20,0,0,-349
2020/5/4,10:00,2002,0,492,941,,38,856,0,17,0,0,-342
2020/5/4,11:00,2074,0,516,960,,37,886,0,15,0,0,-340
2020/5/4,12:00,2084,0,646,930,,38,804,0,23,0,0,-356
2020/5/4,13:00,2037,0,748,943,,38,624,0,26,0,0,-342
2020/5/4,14:00,2011,0,818,945,,38,517,0,27,0,0,-333
2020/5/4,15:00,2003,0,875,967,,38,419,0,24,0,0,-319
2020/5/4,16:00,2032,0,1080,987,,37,220,0,25,0,0,-317
2020/5/4,17:00,2112,0,1136,1088,,38,65,0,26,0,0,-241
2020/5/4,18:00,2181,0,1215,1301,,38,6,0,12,0,0,-390
2020/5/4,19:00,2133,0,1253,1485,,38,1,0,14,0,0,-658
2020/5/4,20:00,2049,0,1260,1385,,38,0,0,15,0,0,-649
2020/5/4,21:00,1958,0,1226,1246,,38,0,0,12,0,0,-564
2020/5/4,22:00,1886,0,1209,1033,,38,0,0,18,0,0,-412
2020/5/4,23:00,1856,0,1084,1025,,38,0,0,28,0,0,-318
2020/5/5,0:00,1844,0,939,1046,,38,0,0,33,0,0,-212
2020/5/5,1:00,1921,0,968,1075,,38,0,0,36,0,0,-195
2020/5/5,2:00,2157,0,1163,1135,,38,0,0,26,0,0,-205
2020/5/5,3:00,2270,0,1229,1345,,38,0,0,14,0,0,-356
2020/5/5,4:00,2279,0,1228,1365,,38,1,0,5,0,0,-357
2020/5/5,5:00,2116,0,1208,1200,,38,15,0,4,0,0,-349
2020/5/5,6:00,1932,0,1046,1093,,38,76,0,2,0,0,-324
2020/5/5,7:00,1865,0,1029,1065,,38,191,0,2,0,0,-460
2020/5/5,8:00,1921,0,961,1046,,38,319,0,2,0,0,-446
2020/5/5,9:00,1972,0,903,995,,38,463,0,1,0,0,-428
