※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/1/4,8:00,3403,0,2637,559,,116,44,0,17,0,0,30
2023/1/4,9:00,3549,0,2408,481,,115,84,0,12,0,0,449
2023/1/4,10:00,3459,0,2208,447,,116,172,0,16,0,0,500
2023/1/4,11:00,3290,0,1925,422,,116,214,0,35,0,0,579
2023/1/4,12:00,3306,0,2138,445,,116,127,0,57,0,0,422
2023/1/4,13:00,3373,0,2150,415,,116,81,0,69,0,0,541
2023/1/4,14:00,3424,0,2144,413,,116,63,0,74,0,0,613
2023/1/4,15:00,3446,0,2308,447,,116,27,0,78,0,0,470
2023/1/4,16:00,3555,0,2765,544,,115,3,0,86,0,3,39
2023/1/4,17:00,3725,0,3106,626,,115,0,0,88,0,99,-309
2023/1/4,18:00,3691,0,3119,722,,115,0,0,78,0,100,-443
2023/1/4,19:00,3594,0,3027,806,,115,0,0,73,0,99,-527
2023/1/4,20:00,3491,0,3018,738,,115,0,0,78,0,2,-462
2023/1/4,21:00,3379,0,3001,614,,115,0,0,81,0,0,-431
2023/1/4,22:00,3249,0,2909,443,,115,0,0,74,0,0,-291
2023/1/4,23:00,3298,0,2785,418,,115,0,0,55,0,0,-75
2023/1/5,0:00,3258,0,2945,419,,115,0,0,51,0,0,-272
2023/1/5,1:00,3332,0,3167,453,,115,0,0,42,0,0,-444
2023/1/5,2:00,3482,0,3219,509,,115,0,0,40,0,0,-401
2023/1/5,3:00,3579,0,3183,570,,115,0,0,40,0,0,-328
2023/1/5,4:00,3575,0,3140,539,,115,0,0,41,0,0,-259
2023/1/5,5:00,3546,0,3180,518,,114,0,0,37,0,0,-303
2023/1/5,6:00,3640,0,3215,507,,115,0,0,31,0,26,-253
2023/1/5,7:00,3794,0,3215,633,,115,10,0,31,0,98,-308
2023/1/5,8:00,4152,0,3270,765,,113,61,0,27,0,0,-84
2023/1/5,9:00,4334,0,3112,725,,115,157,0,19,0,0,207
2023/1/5,10:00,4282,0,2924,585,,114,250,0,16,0,0,392
2023/1/5,11:00,4142,0,2574,434,,114,311,0,17,0,0,693
2023/1/5,12:00,3925,0,2641,407,,114,269,0,19,0,0,476
2023/1/5,13:00,3983,0,2739,435,,113,281,0,25,0,0,389
2023/1/5,14:00,3979,0,2822,483,,114,184,0,26,0,0,350
2023/1/5,15:00,3956,0,3098,538,,113,94,0,16,0,1,96
2023/1/5,16:00,4049,0,3365,710,,115,15,0,7,0,74,-236
2023/1/5,17:00,4079,0,3416,806,,114,0,0,5,0,99,-362
2023/1/5,18:00,4065,0,3452,986,,115,0,0,4,0,99,-591
2023/1/5,19:00,3930,0,3454,937,,114,0,0,3,0,99,-677
2023/1/5,20:00,3810,0,3453,665,,115,0,0,2,0,7,-432
2023/1/5,21:00,3677,0,3372,448,,115,0,0,6,0,0,-263
2023/1/5,22:00,3545,0,3234,393,,115,0,0,6,0,0,-202
2023/1/5,23:00,3553,0,3093,404,,115,0,0,6,0,0,-64
2023/1/6,0:00,3478,0,2960,397,,114,0,0,8,0,0,-1
2023/1/6,1:00,3572,0,2968,404,,115,0,0,5,0,0,80
2023/1/6,2:00,3696,0,3005,446,,115,0,0,4,0,0,126
2023/1/6,3:00,3787,0,3052,476,,115,0,0,5,0,0,139
2023/1/6,4:00,3749,0,3043,472,,115,0,0,6,0,0,114
2023/1/6,5:00,3719,0,3228,476,,115,0,0,5,0,0,-105
2023/1/6,6:00,3793,0,3363,482,,114,0,0,3,0,0,-169
2023/1/6,7:00,3907,0,3375,726,,115,13,0,5,0,3,-329
2023/1/6,8:00,4226,0,3403,696,,115,94,0,2,0,99,-182
2023/1/6,9:00,4296,0,3269,592,,113,276,0,3,0,0,43
2023/1/6,10:00,4132,0,2694,482,,115,431,0,1,0,0,410
2023/1/6,11:00,4069,0,2632,478,,115,425,0,0,0,0,419
2023/1/6,12:00,3858,0,2542,378,,115,395,0,0,0,0,429
2023/1/6,13:00,3936,0,2793,392,,114,343,0,1,0,0,294
2023/1/6,14:00,3921,0,2926,431,,115,285,0,0,0,0,164
2023/1/6,15:00,3894,0,3288,569,,115,135,0,0,0,0,-214
2023/1/6,16:00,3983,0,3455,609,,115,25,0,0,0,71,-291
2023/1/6,17:00,3989,0,3512,786,,114,0,0,2,0,100,-524
2023/1/6,18:00,3948,0,3469,902,,114,0,0,4,0,99,-640
2023/1/6,19:00,3813,0,3451,776,,113,0,0,5,0,99,-631
2023/1/6,20:00,3706,0,3411,644,,112,0,0,5,0,34,-500
2023/1/6,21:00,3585,0,3410,431,,112,0,0,6,0,0,-375
2023/1/6,22:00,3513,0,3320,415,,113,0,0,13,0,0,-347
2023/1/6,23:00,3489,0,3194,404,,112,0,0,15,0,0,-237
2023/1/7,0:00,3374,0,3100,380,,112,0,0,17,0,0,-235
2023/1/7,1:00,3445,0,3112,362,,113,0,0,29,0,0,-170
2023/1/7,2:00,3584,0,3193,442,,113,0,0,30,0,0,-193
2023/1/7,3:00,3662,0,3245,511,,114,0,0,39,0,0,-247
2023/1/7,4:00,3593,0,3176,513,,113,0,0,44,0,0,-254
