,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2023/4/1 0:00,11734,4961,6364,1114,0,80,0,0,4,0,33,-823
2023/4/1 1:00,11512,4961,6580,1155,0,80,0,0,2,0,-453,-813
2023/4/1 2:00,11975,4962,6589,1256,0,80,0,0,1,0,-131,-782
2023/4/1 3:00,12523,4961,6700,1470,0,80,0,0,4,0,400,-1093
2023/4/1 4:00,12438,4962,6706,1464,0,80,0,0,9,0,435,-1216
2023/4/1 5:00,12109,4962,6584,1269,0,80,2,0,11,0,444,-1243
2023/4/1 6:00,11765,4964,6230,1226,0,80,319,0,15,0,291,-1359
2023/4/1 7:00,11881,4964,5680,1078,0,80,1602,0,15,0,-489,-1050
2023/4/1 8:00,12559,4964,5081,1062,0,80,3132,7,14,0,-1655,-119
2023/4/1 9:00,13128,4963,4744,953,0,80,4377,9,16,0,-2347,341
2023/4/1 10:00,13298,4963,4288,736,0,80,5086,28,13,0,-2506,639
2023/4/1 11:00,13162,4963,3719,651,0,80,5379,29,15,0,-2588,943
2023/4/1 12:00,12867,4962,3742,651,0,80,5375,31,16,0,-3138,1178
2023/4/1 13:00,12960,4962,3895,653,0,80,5101,29,12,0,-2589,845
2023/4/1 14:00,12662,4962,3936,760,0,80,4353,25,9,0,-2133,695
2023/4/1 15:00,12607,4961,4081,1002,0,80,3094,6,6,0,-605,-13
2023/4/1 16:00,12789,4961,4849,1326,0,80,1592,0,4,0,690,-713
2023/4/1 17:00,12872,4961,5657,1547,0,80,363,0,3,0,721,-461
2023/4/1 18:00,13567,4961,6317,1892,0,80,9,0,4,0,1100,-797
2023/4/1 19:00,13587,4962,6233,1873,0,80,0,0,6,0,1034,-601
2023/4/1 20:00,13195,4962,6032,1804,0,80,0,0,6,0,886,-574
2023/4/1 21:00,12627,4962,5914,1682,0,80,0,0,5,0,548,-564
2023/4/1 22:00,12005,4961,5947,1206,0,80,0,0,6,0,537,-732
2023/4/1 23:00,11580,4962,5928,1053,0,80,0,0,7,0,618,-1068
2023/4/2 0:00,10872,4962,4874,1071,0,80,0,0,9,0,598,-722
2023/4/2 1:00,10651,4961,4862,1081,0,80,0,0,8,0,602,-944
2023/4/2 2:00,11204,4961,5061,1263,0,80,0,0,4,0,585,-750
2023/4/2 3:00,11738,4961,5318,1471,0,80,0,0,4,0,694,-791
2023/4/2 4:00,11749,4962,5368,1466,0,80,0,0,6,0,717,-849
2023/4/2 5:00,11334,4963,4993,1452,0,80,3,0,8,0,639,-803
2023/4/2 6:00,10851,4963,4517,1250,0,80,339,0,18,0,176,-493
2023/4/2 7:00,10869,4962,3613,1149,0,80,1493,0,11,0,-801,361
2023/4/2 8:00,11345,4962,3848,910,0,80,2889,6,3,2,-2179,833
2023/4/2 9:00,11817,4962,3752,715,0,80,3944,8,2,0,-2736,1097
