,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2016/4/1 0:00,12918,0,10405,758,0,0,0,0,41,0,89,1625
2016/4/1 1:00,12835,0,10453,580,0,0,0,0,24,0,0,1778
2016/4/1 2:00,13351,0,10952,528,0,0,0,0,27,0,0,1844
2016/4/1 3:00,13591,0,11327,491,0,0,0,0,29,0,0,1744
2016/4/1 4:00,13307,0,11140,479,0,0,0,0,34,0,0,1654
2016/4/1 5:00,12925,0,10855,480,0,0,2,0,35,0,0,1553
2016/4/1 6:00,13393,0,11078,507,0,0,134,0,41,0,0,1633
2016/4/1 7:00,14338,0,10829,939,0,0,278,0,45,0,0,2247
2016/4/1 8:00,15929,0,12000,1483,0,0,258,0,52,0,0,2136
2016/4/1 9:00,17167,0,13315,1789,0,0,102,0,49,0,0,1912
2016/4/1 10:00,17482,0,13488,1840,0,0,42,0,61,0,0,2051
2016/4/1 11:00,17520,0,13544,1787,0,0,24,0,48,0,20,2097
2016/4/1 12:00,16422,0,13173,931,0,0,70,0,48,0,10,2190
2016/4/1 13:00,16845,0,13316,1099,0,0,259,0,45,0,0,2126
2016/4/1 14:00,17151,0,13626,1205,0,0,281,0,37,0,0,2002
2016/4/1 15:00,17272,0,13475,1559,0,0,188,0,36,0,0,2014
2016/4/1 16:00,17483,0,13567,1804,0,0,145,0,34,0,0,1933
2016/4/1 17:00,17364,0,13400,2034,0,0,74,0,35,0,0,1821
2016/4/1 18:00,17548,0,13574,2184,0,0,3,0,36,0,40,1711
2016/4/1 19:00,17095,0,13049,2130,0,0,0,0,35,0,20,1861
2016/4/1 20:00,16324,0,12161,1914,0,0,0,0,28,0,0,2221
2016/4/1 21:00,15495,0,11643,1450,0,0,0,0,15,0,0,2387
2016/4/1 22:00,14815,0,11365,1175,0,0,0,0,15,0,0,2260
2016/4/1 23:00,14050,0,10925,937,0,0,0,0,22,0,0,2166
2016/4/2 0:00,13279,0,10737,723,0,0,0,0,14,0,0,1805
2016/4/2 1:00,12975,0,10685,551,0,0,0,0,12,0,0,1727
2016/4/2 2:00,13478,0,11256,506,0,0,0,0,10,0,0,1706
2016/4/2 3:00,13577,0,11330,490,0,0,0,0,11,0,0,1746
2016/4/2 4:00,13294,0,11120,465,0,0,0,0,11,0,0,1698
2016/4/2 5:00,12707,0,10453,468,0,0,3,0,10,0,0,1773
2016/4/2 6:00,12503,0,10006,473,0,0,195,0,10,0,0,1819
2016/4/2 7:00,12907,0,9534,705,0,0,743,0,7,0,0,1918
2016/4/2 8:00,13927,0,9519,1062,0,0,1336,0,6,0,0,2004
2016/4/2 9:00,14532,0,9195,1415,0,0,1718,0,9,0,0,2195
2016/4/2 10:00,14721,0,9058,1511,0,0,1949,0,4,0,0,2199
