,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖÅkMWhÅl,òAånê¸ÅkMWhÅl
2017/4/1 0:00,14900,0,12724,516,0,0,0,0,38,0,40,1582
2017/4/1 1:00,14599,0,12574,481,0,0,0,0,40,0,0,1504
2017/4/1 2:00,14767,0,12859,456,0,0,0,0,45,0,0,1407
2017/4/1 3:00,14755,0,12872,419,0,0,0,0,46,0,0,1418
2017/4/1 4:00,14376,0,12586,414,0,0,0,0,52,0,-67,1391
2017/4/1 5:00,13960,0,12400,421,0,0,2,0,57,0,-359,1439
2017/4/1 6:00,14218,0,12304,424,0,0,138,0,57,0,-341,1636
2017/4/1 7:00,15010,0,12461,763,0,0,331,0,56,0,-380,1779
2017/4/1 8:00,16395,0,12877,964,0,0,543,0,57,0,-37,1991
2017/4/1 9:00,17056,0,12860,1030,0,0,783,0,49,0,144,2190
2017/4/1 10:00,16888,0,12610,779,0,0,1126,0,38,0,34,2301
2017/4/1 11:00,16597,0,12495,528,0,0,1321,0,37,0,-36,2252
2017/4/1 12:00,15737,0,12343,432,0,0,1393,0,33,0,-603,2139
2017/4/1 13:00,15760,0,12371,437,0,0,1617,0,31,0,-810,2114
2017/4/1 14:00,15336,0,12145,432,0,0,1528,0,25,0,-862,2068
2017/4/1 15:00,15259,0,12425,458,0,0,1280,0,26,0,-866,1936
2017/4/1 16:00,15510,0,12578,641,0,0,832,0,20,0,-514,1953
2017/4/1 17:00,16055,0,12942,1034,0,0,276,0,13,0,-80,1870
2017/4/1 18:00,17195,0,13558,1193,0,0,7,0,15,0,455,1967
2017/4/1 19:00,17526,0,13675,1254,0,0,0,0,20,0,639,1938
2017/4/1 20:00,17132,0,13559,1123,0,0,0,0,24,0,629,1797
2017/4/1 21:00,16477,0,13514,962,0,0,0,0,51,0,439,1511
2017/4/1 22:00,15729,0,13224,826,0,0,0,0,43,0,274,1362
2017/4/1 23:00,15060,0,13003,655,0,0,0,0,39,0,153,1210
2017/4/2 0:00,14164,0,12265,534,0,0,0,0,37,0,10,1318
2017/4/2 1:00,13984,0,12247,437,0,0,0,0,34,0,0,1266
2017/4/2 2:00,14309,0,12672,399,0,0,0,0,37,0,14,1187
2017/4/2 3:00,14321,0,12646,398,0,0,0,0,41,0,69,1167
2017/4/2 4:00,13960,0,12378,398,0,0,0,0,38,0,0,1146
2017/4/2 5:00,13423,0,12070,392,0,0,3,0,27,0,-287,1218
2017/4/2 6:00,13262,0,11868,401,0,0,227,0,26,0,-446,1186
2017/4/2 7:00,13245,0,11455,711,0,0,673,0,25,0,-923,1304
2017/4/2 8:00,13486,0,11185,884,0,0,1199,0,34,0,-1501,1685
2017/4/2 9:00,13813,0,10964,886,0,0,1877,0,30,0,-1821,1877
2017/4/2 10:00,13822,0,10789,674,0,0,2356,0,24,0,-2119,2098
2017/4/2 11:00,13610,0,10890,485,0,0,2592,0,23,0,-2528,2148
2017/4/2 12:00,13402,0,11043,416,0,0,2600,0,34,0,-2914,2223
2017/4/2 13:00,13172,0,10574,407,0,0,2381,0,32,0,-2427,2205
2017/4/2 14:00,13040,0,10752,409,0,0,1979,0,32,0,-2041,1909
2017/4/2 15:00,13371,0,11391,427,0,0,1474,0,27,0,-1807,1859
2017/4/2 16:00,13933,0,11876,619,0,0,851,0,23,0,-1011,1575
2017/4/2 17:00,14996,0,12166,1077,0,0,287,0,19,0,-173,1620
2017/4/2 18:00,16407,0,13202,1181,0,0,8,0,28,0,230,1758
2017/4/2 19:00,16850,0,13347,1244,0,0,0,0,62,0,362,1835
2017/4/2 20:00,16602,0,13331,1054,0,0,0,0,43,0,248,1926
2017/4/2 21:00,16118,0,13333,822,0,0,0,0,32,0,238,1693
2017/4/2 22:00,15277,0,13029,685,0,0,0,0,12,0,159,1392
2017/4/2 23:00,14516,0,12674,639,0,0,0,0,10,0,20,1173
2017/4/3 0:00,13827,0,12463,431,0,0,0,0,12,0,-2,923
2017/4/3 1:00,13751,0,12701,417,0,0,0,0,17,0,-138,754
2017/4/3 2:00,14178,0,12852,401,0,0,0,0,23,0,119,783
2017/4/3 3:00,14373,0,12964,412,0,0,0,0,24,0,179,794
2017/4/3 4:00,14214,0,12887,401,0,0,0,0,19,0,70,837
2017/4/3 5:00,14156,0,12843,401,0,0,4,0,19,0,0,889
2017/4/3 6:00,15207,0,12953,419,0,0,230,0,19,0,171,1415
2017/4/3 7:00,15879,0,12638,738,0,0,676,0,18,0,135,1674
2017/4/3 8:00,16914,0,12420,961,0,0,1257,0,14,0,0,2262
2017/4/3 9:00,17733,0,12073,1014,0,0,1957,0,15,0,0,2674
2017/4/3 10:00,17657,0,11468,695,0,0,2400,0,19,0,50,3025
2017/4/3 11:00,17525,0,11186,621,0,0,2624,0,15,0,59,3020
2017/4/3 12:00,16317,0,10851,580,0,0,2641,0,24,0,-516,2737
2017/4/3 13:00,16970,0,11121,628,0,0,2431,0,21,0,-95,2864
2017/4/3 14:00,16986,0,11420,647,0,0,2024,0,32,0,0,2863
2017/4/3 15:00,17023,0,12013,651,0,0,1403,0,14,0,301,2641
2017/4/3 16:00,17366,0,12191,860,0,0,814,0,13,0,896,2592
2017/4/3 17:00,17524,0,12799,1474,0,0,287,0,11,0,499,2454
2017/4/3 18:00,18187,0,13457,1644,0,0,10,0,20,0,663,2393
2017/4/3 19:00,17985,0,13486,1545,0,0,0,0,43,0,739,2172
2017/4/3 20:00,17364,0,13365,1206,0,0,0,0,50,0,785,1958
2017/4/3 21:00,16842,0,13312,1039,0,0,0,0,66,0,709,1716
2017/4/3 22:00,16189,0,13130,826,0,0,0,0,64,0,625,1544
2017/4/3 23:00,15205,0,12968,723,0,0,0,0,69,0,243,1202
2017/4/4 0:00,14364,0,12830,568,0,0,0,0,69,0,0,897
2017/4/4 1:00,14194,0,12786,550,0,0,0,0,83,0,10,765
2017/4/4 2:00,14657,0,13131,542,0,0,0,0,75,0,191,718
2017/4/4 3:00,14784,0,13172,469,0,0,0,0,62,0,392,689
2017/4/4 4:00,14677,0,13150,436,0,0,0,0,55,0,331,705
2017/4/4 5:00,14566,0,13029,442,0,0,6,0,27,0,273,789
2017/4/4 6:00,15247,0,13362,462,0,0,267,0,12,0,258,886
2017/4/4 7:00,15720,0,13050,760,0,0,784,0,8,0,132,986
2017/4/4 8:00,16839,0,12722,993,0,0,1431,0,18,0,0,1675
2017/4/4 9:00,17415,0,12233,1059,0,0,2022,0,23,0,0,2078
2017/4/4 10:00,17237,0,12045,834,0,0,2424,0,18,0,-325,2241
2017/4/4 11:00,17164,0,12492,662,0,0,2652,0,13,0,-856,2201
2017/4/4 12:00,15993,0,12020,575,0,0,2658,0,10,0,-1230,1960
2017/4/4 13:00,16750,0,12165,630,0,0,2460,0,11,0,-588,2072
2017/4/4 14:00,16651,0,12318,668,0,0,2092,0,18,0,-523,2078
2017/4/4 15:00,16585,0,12537,713,0,0,1571,0,23,0,-222,1963
2017/4/4 16:00,16870,0,12937,849,0,0,948,0,15,0,60,2061
2017/4/4 17:00,16940,0,12892,1435,0,0,320,0,10,0,236,2047
2017/4/4 18:00,17547,0,13391,1587,0,0,10,0,7,0,717,1835
2017/4/4 19:00,17322,0,13403,1500,0,0,0,0,7,0,583,1829
2017/4/4 20:00,16769,0,13293,1238,0,0,0,0,11,0,503,1724
2017/4/4 21:00,16236,0,13230,1094,0,0,0,0,19,0,533,1360
2017/4/4 22:00,15660,0,13238,947,0,0,0,0,28,0,474,973
2017/4/4 23:00,14856,0,12860,776,0,0,0,0,39,0,321,860
2017/4/5 0:00,13984,0,12686,564,0,0,0,0,51,0,116,567
2017/4/5 1:00,13859,0,13026,512,0,0,0,0,55,0,-260,526
2017/4/5 2:00,14366,0,13135,458,0,0,0,0,60,0,149,564
