,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2020/10/1 0:00,7286,1148,6648,649,153,482,0,0,45,0,-117,-1722
2020/10/1 1:00,7082,1146,6685,646,153,479,0,0,46,0,-413,-1660
2020/10/1 2:00,7241,1145,6735,637,154,482,0,0,43,0,-321,-1634
2020/10/1 3:00,7759,1145,6921,668,153,481,0,0,47,0,0,-1656
2020/10/1 4:00,8224,1143,7270,940,154,483,0,0,46,0,0,-1812
2020/10/1 5:00,8300,1144,7262,978,154,481,0,0,36,0,55,-1810
2020/10/1 6:00,8105,1145,7133,837,154,482,151,0,36,0,169,-2002
2020/10/1 7:00,8155,1148,6251,553,154,481,1562,0,34,0,-10,-2018
2020/10/1 8:00,8400,1147,5419,500,154,478,3381,0,34,0,-389,-2324
2020/10/1 9:00,9143,1147,4837,471,152,473,5086,1,31,0,-544,-2510
2020/10/1 10:00,9827,1147,4482,483,152,474,6452,1,24,0,-801,-2586
2020/10/1 11:00,10307,1147,4646,451,151,472,7126,1,25,0,-1147,-2564
2020/10/1 12:00,10134,1147,4374,459,151,472,7182,1,30,0,-1223,-2458
2020/10/1 13:00,10386,1147,4988,452,151,470,6665,1,27,0,-944,-2570
2020/10/1 14:00,10283,1147,5546,479,152,470,5535,1,29,0,-515,-2560
2020/10/1 15:00,10233,1147,6298,488,152,472,3998,1,34,0,206,-2562
2020/10/1 16:00,10387,1147,7406,639,152,475,2066,0,28,0,912,-2438
2020/10/1 17:00,10157,1147,7735,827,152,474,420,0,27,0,673,-1298
2020/10/1 18:00,10166,1147,7761,984,152,480,0,0,29,0,447,-834
2020/10/1 19:00,9688,1147,7734,982,152,481,0,0,24,0,330,-1162
2020/10/1 20:00,9173,1147,7735,870,153,480,0,0,28,0,308,-1548
2020/10/1 21:00,8640,1148,7616,749,153,479,0,0,26,0,47,-1578
2020/10/1 22:00,8268,1148,7464,721,153,479,0,0,19,0,0,-1716
2020/10/1 23:00,7988,1148,6958,596,153,482,0,0,14,0,7,-1370
2020/10/2 0:00,7416,1147,6799,551,153,482,0,0,21,0,69,-1806
2020/10/2 1:00,7169,1148,6712,554,153,481,0,0,22,0,-67,-1834
2020/10/2 2:00,7354,1148,6768,563,153,483,0,0,23,0,0,-1784
2020/10/2 3:00,7867,1148,7055,657,153,483,0,0,22,0,-25,-1626
2020/10/2 4:00,8321,1145,7262,873,152,484,0,0,12,0,153,-1760
2020/10/2 5:00,8414,1145,7360,802,153,483,0,0,7,0,258,-1794
2020/10/2 6:00,8192,1146,7098,764,153,482,149,0,6,0,244,-1850
2020/10/2 7:00,8222,1146,6295,471,153,475,1547,0,8,0,43,-1916
2020/10/2 8:00,8447,1147,5486,448,152,470,3438,0,5,0,-553,-2146
2020/10/2 9:00,9301,1147,4891,432,145,467,5245,0,6,0,-740,-2292
2020/10/2 10:00,9916,1146,4715,399,142,466,6425,0,1,0,-1284,-2094
2020/10/2 11:00,10545,1147,4749,381,141,463,7104,0,1,0,-1343,-2098
2020/10/2 12:00,10242,1147,4627,373,142,469,6876,0,1,0,-1259,-2134
2020/10/2 13:00,10739,1147,5184,376,142,472,6799,0,3,0,-842,-2542
2020/10/2 14:00,10778,1147,5742,370,142,470,5739,0,6,0,-232,-2606
2020/10/2 15:00,10573,1146,6957,412,142,476,3927,0,7,0,132,-2626
2020/10/2 16:00,10602,1145,7649,701,141,479,1982,0,3,0,974,-2472
2020/10/2 17:00,10351,1147,7684,887,141,480,375,0,4,0,947,-1314
2020/10/2 18:00,10231,1145,7612,980,142,485,0,0,6,0,661,-800
2020/10/2 19:00,9820,1146,7698,913,141,484,0,0,5,0,563,-1130
2020/10/2 20:00,9260,1145,7689,749,146,485,0,0,3,0,529,-1486
2020/10/2 21:00,8725,1147,7651,718,144,422,0,0,2,0,57,-1416
2020/10/2 22:00,8270,1146,7619,688,135,365,0,0,6,0,129,-1818
2020/10/2 23:00,7965,1146,7088,595,144,425,0,0,7,0,194,-1634
2020/10/3 0:00,7427,1147,6772,518,152,488,0,0,5,0,19,-1674
2020/10/3 1:00,7143,1145,6470,501,153,486,0,0,4,0,0,-1616
2020/10/3 2:00,7346,1146,6685,493,153,487,0,0,4,0,18,-1640
2020/10/3 3:00,7793,1147,7143,587,153,487,0,0,3,0,23,-1750
2020/10/3 4:00,8194,1144,7337,838,152,486,0,0,3,0,0,-1766
2020/10/3 5:00,8136,1145,7300,791,153,482,0,0,3,0,0,-1738
2020/10/3 6:00,7727,1145,6961,566,152,485,151,0,3,0,0,-1736
2020/10/3 7:00,7626,1147,5848,465,153,485,1280,0,4,0,0,-1756
2020/10/3 8:00,7829,1147,4765,421,153,486,2693,0,2,0,0,-1838
2020/10/3 9:00,8410,1147,4333,427,152,482,4289,0,1,0,-495,-1926
2020/10/3 10:00,8887,1146,4157,390,153,483,5475,0,2,0,-955,-1964
2020/10/3 11:00,9372,1146,3940,376,153,484,6005,0,3,0,-823,-1912
2020/10/3 12:00,9412,1146,3884,371,153,482,6140,0,9,0,-819,-1954
2020/10/3 13:00,9511,1147,4342,362,153,484,5822,0,5,0,-860,-1944
2020/10/3 14:00,9305,1147,4988,370,152,483,4721,0,5,0,-601,-1960
2020/10/3 15:00,9293,1146,6045,378,152,483,3367,0,10,0,-340,-1948
2020/10/3 16:00,9354,1146,7090,637,152,483,1732,0,12,0,92,-1990
2020/10/3 17:00,9392,1145,7499,880,152,485,264,0,10,0,894,-1937
2020/10/3 18:00,9638,1146,7616,971,151,485,0,0,5,0,652,-1388
2020/10/3 19:00,9221,1146,7569,913,151,486,0,0,11,0,559,-1614
2020/10/3 20:00,8791,1146,7592,717,152,479,0,0,11,0,471,-1777
2020/10/3 21:00,8319,1146,7482,676,152,475,0,0,5,0,158,-1775
2020/10/3 22:00,7936,1146,7137,592,152,464,0,0,2,0,88,-1645
2020/10/3 23:00,7555,1145,6866,503,152,468,0,0,2,0,85,-1666
2020/10/4 0:00,7097,1146,6645,486,152,469,0,0,5,0,-166,-1640
2020/10/4 1:00,6871,1147,6773,490,152,467,0,0,4,0,-530,-1632
2020/10/4 2:00,7017,1145,6749,484,153,466,0,0,1,0,-333,-1648
2020/10/4 3:00,7474,1146,6905,501,153,465,0,0,2,0,-30,-1668
2020/10/4 4:00,7846,1145,6859,715,152,448,0,0,4,0,205,-1682
2020/10/4 5:00,7814,1144,6696,810,153,442,0,0,0,0,293,-1724
2020/10/4 6:00,7327,1146,6591,630,152,442,79,0,1,0,8,-1722
2020/10/4 7:00,7171,1147,6014,514,152,445,878,0,1,0,-216,-1764
2020/10/4 8:00,7241,1146,5230,432,152,445,1959,0,1,0,-290,-1834
2020/10/4 9:00,7661,1147,4526,413,152,443,3482,0,1,0,-589,-1914
2020/10/4 10:00,8168,1148,3843,397,149,443,4803,1,0,0,-683,-1932
2020/10/4 11:00,8550,1147,3668,400,151,443,5544,1,0,0,-837,-1966
2020/10/4 12:00,8758,1147,3748,399,152,443,5794,1,1,0,-1008,-1918
2020/10/4 13:00,8684,1145,4698,391,152,442,4818,1,2,0,-1026,-1938
2020/10/4 14:00,8610,1145,5475,391,152,441,2940,0,1,0,-15,-1920
2020/10/4 15:00,8598,1146,5997,405,151,444,1383,0,1,0,843,-1772
2020/10/4 16:00,8762,1144,6715,477,152,443,608,0,1,0,788,-1566
2020/10/4 17:00,9058,1144,7449,765,152,446,97,0,0,0,603,-1598
2020/10/4 18:00,9445,1144,7644,934,152,443,0,0,0,0,764,-1636
2020/10/4 19:00,9171,1145,7664,918,152,446,0,0,2,0,488,-1644
2020/10/4 20:00,8729,1144,7593,664,152,448,0,0,4,0,370,-1646
2020/10/4 21:00,8261,1144,7425,711,152,445,0,0,3,0,263,-1882
2020/10/4 22:00,7804,1144,7165,549,152,445,0,0,2,0,153,-1806
2020/10/4 23:00,7474,1143,6861,488,152,445,0,0,2,0,-15,-1602
2020/10/5 0:00,7005,1147,6872,457,152,446,0,0,6,0,-621,-1454
2020/10/5 1:00,6754,1146,6877,454,152,445,0,0,14,0,-842,-1492
2020/10/5 2:00,6965,1145,6893,479,152,444,0,0,29,0,-609,-1568
2020/10/5 3:00,7508,1146,6857,497,152,445,0,0,46,0,-89,-1546
2020/10/5 4:00,7968,1144,6892,725,152,446,0,0,62,0,173,-1626
2020/10/5 5:00,8147,1145,6906,822,153,444,0,0,56,0,233,-1612
2020/10/5 6:00,8078,1144,6923,588,153,443,42,0,70,0,337,-1622
2020/10/5 7:00,8336,1145,6894,447,152,442,573,0,67,0,406,-1790
2020/10/5 8:00,8838,1147,6912,393,152,438,1833,0,83,0,232,-2352
2020/10/5 9:00,9331,1147,6276,389,152,434,3508,0,97,0,-154,-2518
2020/10/5 10:00,9599,1146,5739,375,153,434,5260,0,81,0,-1019,-2570
2020/10/5 11:00,9892,1147,5166,377,153,433,6433,0,81,0,-1362,-2536
2020/10/5 12:00,9625,1146,4374,375,153,438,6963,0,75,0,-1457,-2442
2020/10/5 13:00,9859,1146,4942,374,153,434,6768,0,66,0,-1472,-2552
2020/10/5 14:00,9876,1146,5448,378,151,433,5720,0,62,0,-868,-2594
2020/10/5 15:00,9733,1147,6578,499,151,433,4059,0,70,0,-582,-2622
2020/10/5 16:00,9831,1145,7650,601,152,434,2053,0,72,0,138,-2414
2020/10/5 17:00,9699,1147,7681,755,152,437,359,0,79,0,563,-1474
2020/10/5 18:00,9765,1145,7711,890,152,442,0,0,90,0,385,-1050
2020/10/5 19:00,9270,1147,7664,882,152,438,0,0,98,0,113,-1224
2020/10/5 20:00,8810,1147,7621,648,152,440,0,0,109,0,103,-1410
2020/10/5 21:00,8294,1147,7526,494,152,440,0,0,101,0,0,-1566
2020/10/5 22:00,8015,1146,7521,444,152,438,0,0,86,0,0,-1772
2020/10/5 23:00,7707,1147,6919,459,152,440,0,0,86,0,98,-1594
2020/10/6 0:00,7182,1146,6507,445,152,441,0,0,87,0,224,-1820
2020/10/6 1:00,7008,1146,6493,441,152,441,0,0,109,0,24,-1798
2020/10/6 2:00,7239,1145,6670,454,152,441,0,0,105,0,112,-1840
2020/10/6 3:00,7839,1145,7121,543,152,441,0,0,89,0,202,-1854
2020/10/6 4:00,8346,1142,7144,736,152,442,0,0,92,0,98,-1460
2020/10/6 5:00,8463,1142,7156,805,152,442,0,0,90,0,222,-1546
2020/10/6 6:00,8240,1142,7080,598,152,444,117,0,79,0,348,-1720
2020/10/6 7:00,8134,1144,6328,445,149,441,1479,0,82,0,284,-2218
2020/10/6 8:00,8195,1146,4802,377,148,438,3535,0,76,0,-17,-2310
2020/10/6 9:00,8806,1146,4398,320,148,433,5328,1,62,0,-535,-2494
2020/10/6 10:00,9249,1146,4205,297,148,432,6671,1,46,0,-1198,-2498
2020/10/6 11:00,9680,1145,3692,301,148,433,7392,2,55,0,-930,-2556
2020/10/6 12:00,9520,1146,3636,283,148,437,7501,2,56,0,-1215,-2472
2020/10/6 13:00,9650,1146,3857,289,146,434,6871,1,54,0,-639,-2508
2020/10/6 14:00,9530,1146,4965,294,143,433,5679,1,64,0,-604,-2590
2020/10/6 15:00,9520,1145,5896,360,143,433,4051,1,68,0,2,-2578
2020/10/6 16:00,9698,1146,7273,460,143,431,2023,0,80,0,742,-2600
2020/10/6 17:00,9663,1147,7616,707,143,436,326,0,74,0,734,-1520
2020/10/6 18:00,9781,1146,7678,837,148,438,0,0,82,0,434,-982
2020/10/6 19:00,9331,1145,7646,805,148,437,0,0,98,0,278,-1226
2020/10/6 20:00,8836,1143,7741,638,148,437,0,0,105,0,206,-1582
2020/10/6 21:00,8349,1144,7553,612,148,438,0,0,117,0,37,-1700
2020/10/6 22:00,8033,1145,7456,507,148,435,0,0,111,0,43,-1812
2020/10/6 23:00,7720,1143,7251,470,148,440,0,0,110,0,116,-1958
2020/10/7 0:00,7262,1145,6807,433,148,442,0,0,109,0,0,-1822
2020/10/7 1:00,7035,1146,6583,447,148,438,0,0,113,0,0,-1840
2020/10/7 2:00,7305,1146,6805,497,148,441,0,0,137,0,1,-1870
2020/10/7 3:00,7900,1148,7047,577,148,440,0,0,159,0,135,-1754
2020/10/7 4:00,8385,1144,7206,690,148,442,0,0,161,0,282,-1688
2020/10/7 5:00,8448,1146,7212,710,148,442,0,0,162,0,406,-1778
2020/10/7 6:00,8210,1145,7026,781,148,443,131,0,147,0,363,-1974
2020/10/7 7:00,8063,1149,6375,466,148,443,1431,0,143,0,-28,-2064
2020/10/7 8:00,8250,1146,5756,397,148,436,3189,0,133,0,-609,-2346
2020/10/7 9:00,8620,1147,4826,376,148,432,5036,0,115,0,-950,-2510
2020/10/7 10:00,9142,1147,3987,367,144,433,6492,0,110,0,-972,-2566
2020/10/7 11:00,9494,1147,3787,384,142,432,7028,0,106,0,-968,-2564
2020/10/7 12:00,9278,1147,4096,373,142,435,6948,0,103,0,-1504,-2462
2020/10/7 13:00,9507,1146,4874,380,141,432,6135,0,138,0,-1201,-2538
2020/10/7 14:00,9652,1147,5857,387,141,431,4928,0,151,0,-806,-2584
2020/10/7 15:00,9532,1146,6915,436,141,432,3164,0,157,0,-279,-2580
2020/10/7 16:00,9761,1145,7566,540,145,430,1545,0,186,0,586,-2382
2020/10/7 17:00,9714,1147,7682,619,147,432,242,0,212,0,731,-1498
