,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2023/1/1 0:00,9407,3002,6889,144,151,520,0,0,97,0,516,-1912
2023/1/1 1:00,9300,3001,6742,154,152,517,0,0,116,0,516,-1898
2023/1/1 2:00,9508,3002,6946,166,151,520,0,0,117,0,550,-1944
2023/1/1 3:00,9656,3000,6961,319,151,519,0,0,124,0,522,-1940
2023/1/1 4:00,9589,3000,6990,317,151,520,0,0,128,0,419,-1936
2023/1/1 5:00,9273,3002,7001,249,151,519,0,0,125,0,112,-1886
2023/1/1 6:00,8852,3000,6738,206,151,517,0,0,129,0,-5,-1884
2023/1/1 7:00,9052,3001,6849,230,152,516,111,0,121,0,14,-1942
2023/1/1 8:00,9305,2999,6095,181,151,512,1383,1,32,36,36,-2084
2023/1/1 9:00,8546,3000,4046,164,151,468,3107,2,30,55,-284,-2136
2023/1/1 10:00,8022,3001,3064,143,151,408,4809,155,28,91,-1506,-2076
2023/1/1 11:00,7675,2999,2857,152,151,409,5236,971,28,92,-2179,-1978
2023/1/1 12:00,7414,2998,2839,146,151,410,4917,1603,24,95,-2127,-1944
2023/1/1 13:00,7069,3000,2883,143,151,411,4373,1492,21,99,-1989,-1924
2023/1/1 14:00,6978,3001,2947,144,151,410,4057,676,23,94,-1819,-1936
2023/1/1 15:00,7190,3003,3430,152,151,422,2879,149,32,94,-971,-1908
2023/1/1 16:00,7796,3000,4807,170,151,493,1004,0,86,0,-169,-1746
2023/1/1 17:00,8885,2999,6637,290,151,514,29,0,119,0,322,-2176
2023/1/1 18:00,9434,2998,6708,518,151,518,0,0,129,0,562,-2150
2023/1/1 19:00,9505,2997,6832,465,151,522,0,0,128,0,706,-2296
