,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2022/4/1 0:00,7606,2068,6520,279,132,319,0,0,190,0,-18,-1884
2022/4/1 1:00,7582,2068,6546,277,133,317,0,0,196,0,-9,-1946
2022/4/1 2:00,8015,2068,6768,295,133,316,0,0,211,0,224,-2000
2022/4/1 3:00,8629,2070,6769,425,133,318,0,0,224,0,756,-2066
2022/4/1 4:00,8915,2069,6743,592,133,321,0,0,232,0,877,-2052
2022/4/1 5:00,8890,2070,6284,530,133,320,0,0,237,0,1296,-1980
2022/4/1 6:00,8830,2069,6257,409,133,308,138,0,239,0,1331,-2054
2022/4/1 7:00,8548,2070,5896,287,133,288,1492,0,221,0,323,-2162
2022/4/1 8:00,8379,2070,4522,279,133,273,3671,0,201,0,-402,-2368
2022/4/1 9:00,8599,2070,3830,252,133,262,5707,2,183,0,-1356,-2482
2022/4/1 10:00,8894,2070,3157,248,133,249,7259,153,169,0,-1881,-2510
2022/4/1 11:00,8985,2070,3096,232,133,248,7353,785,165,0,-1876,-2436
2022/4/1 12:00,8713,2070,3026,215,133,252,7242,978,132,36,-1961,-2396
2022/4/1 13:00,8824,2070,3348,208,133,252,6664,750,181,0,-1608,-2424
2022/4/1 14:00,8546,2069,3477,208,133,249,5516,298,218,0,-880,-2444
2022/4/1 15:00,8590,2070,4279,216,133,264,4617,2,230,0,-793,-2426
2022/4/1 16:00,8909,2069,5644,226,133,276,2654,0,228,0,-109,-2212
2022/4/1 17:00,9186,2069,6918,385,133,277,983,0,220,0,119,-1918
2022/4/1 18:00,9746,2070,7795,621,134,277,76,0,216,0,853,-2296
2022/4/1 19:00,9910,2063,7785,650,134,275,0,0,213,0,1018,-2228
2022/4/1 20:00,9645,2064,7691,486,134,277,0,0,197,0,1012,-2216
2022/4/1 21:00,9336,2065,7656,263,134,276,0,0,192,0,932,-2182
2022/4/1 22:00,8973,2069,7597,233,134,275,0,0,175,0,562,-2072
2022/4/1 23:00,8542,2070,7516,222,134,275,0,0,153,0,184,-2012
2022/4/2 0:00,7957,2069,6846,213,134,275,0,0,122,0,-8,-1694
2022/4/2 1:00,7956,2070,6887,216,134,273,0,0,110,0,-14,-1720
2022/4/2 2:00,8433,2066,6919,224,134,273,0,0,111,0,484,-1778
