,,,,,,,ëæózåı,ëæózåı,ïóóÕ,ïóóÕ,,
DATE_TIME,ÉGÉäÉAé˘óvÅkMWhÅl,å¥éqóÕÅkMWhÅl,âŒóÕÅkMWhÅl,êÖóÕÅkMWhÅl,ínîMÅkMWhÅl,ÉoÉCÉIÉ}ÉXÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,é¿ê—ÅkMWhÅl,ó}êßó ÅkMWhÅl,ógêÖìôÅkMWhÅl,òAånê¸ÅkMWhÅl
2020/4/1 0:00,7647,3222,4384,367,142,444,0,0,28,0,-76,-864
2020/4/1 1:00,7655,3222,4515,385,141,441,0,0,24,0,-137,-936
2020/4/1 2:00,8149,3219,4930,406,141,437,0,0,14,0,-10,-988
2020/4/1 3:00,8716,3224,5465,430,141,440,0,0,20,0,2,-1006
2020/4/1 4:00,8903,3218,5558,481,141,442,0,0,27,0,0,-964
2020/4/1 5:00,8694,3222,5333,488,141,439,0,0,37,0,-16,-950
2020/4/1 6:00,8543,3220,5152,516,141,423,8,0,57,0,-10,-964
2020/4/1 7:00,8877,3221,5571,521,141,401,76,0,93,0,-1,-1146
2020/4/1 8:00,9473,3220,6158,558,141,390,282,0,128,0,514,-1918
2020/4/1 9:00,10146,3220,6400,566,141,388,626,0,159,0,1102,-2456
2020/4/1 10:00,10204,3219,6453,589,141,385,1075,0,200,0,644,-2502
2020/4/1 11:00,10377,3220,6344,538,141,380,1147,0,243,0,848,-2484
2020/4/1 12:00,10105,3221,6166,454,139,390,1083,0,289,0,221,-1858
2020/4/1 13:00,10229,3165,6203,430,142,386,1376,0,325,0,646,-2444
2020/4/1 14:00,10196,3156,5953,413,142,384,2108,0,308,0,132,-2400
2020/4/1 15:00,9677,3180,5235,471,142,387,2120,0,292,0,-34,-2116
2020/4/1 16:00,9771,3203,5645,661,142,386,1800,0,267,0,-9,-2324
2020/4/1 17:00,9920,3219,5984,739,142,383,893,0,243,0,-65,-1618
2020/4/1 18:00,10346,3217,6781,976,142,383,85,0,208,0,0,-1446
2020/4/1 19:00,10460,3217,7008,971,142,386,0,0,208,0,148,-1620
2020/4/1 20:00,10177,3215,6942,708,142,383,0,0,159,0,454,-1826
2020/4/1 21:00,9816,3219,6803,542,142,382,0,0,150,0,182,-1604
2020/4/1 22:00,9244,3222,6116,479,142,384,0,0,134,0,-11,-1222
2020/4/1 23:00,8625,3221,5179,415,142,386,0,0,115,0,-17,-816
2020/4/2 0:00,8248,3221,5335,394,144,393,0,0,140,0,-265,-1114
2020/4/2 1:00,8248,3220,5423,452,146,390,0,0,152,0,-353,-1182
2020/4/2 2:00,8718,3221,5728,445,146,390,0,0,144,0,-114,-1242
2020/4/2 3:00,9265,3221,6169,459,146,389,0,0,189,0,-8,-1300
2020/4/2 4:00,9460,3221,6222,467,146,390,0,0,204,0,6,-1196
2020/4/2 5:00,9391,3220,6144,630,146,393,0,0,165,0,-5,-1302
2020/4/2 6:00,9356,3221,5740,824,146,392,164,0,150,0,5,-1286
2020/4/2 7:00,9180,3219,4478,648,146,390,1336,0,150,0,-15,-1172
2020/4/2 8:00,9140,3226,3647,417,146,391,2796,415,130,0,-259,-1354
2020/4/2 9:00,9268,3221,3154,402,146,389,4405,628,124,0,-293,-2280
2020/4/2 10:00,9449,3220,2865,405,146,348,5816,806,105,0,-878,-2578
2020/4/2 11:00,9530,3224,2741,407,146,319,6418,882,85,0,-1296,-2514
2020/4/2 12:00,9197,3218,2768,382,146,322,6683,914,80,0,-2028,-2374
2020/4/2 13:00,9166,3224,2770,390,146,317,6283,861,71,0,-1539,-2496
2020/4/2 14:00,9000,3220,2775,392,146,327,5677,770,57,0,-1092,-2502
2020/4/2 15:00,8825,3223,2943,411,146,381,4405,570,52,0,-578,-2158
2020/4/2 16:00,9003,3220,3245,467,146,391,3143,0,44,0,-373,-1280
2020/4/2 17:00,9172,3219,3923,787,146,386,1200,0,33,0,1214,-1736
2020/4/2 18:00,9868,3217,5651,969,146,389,87,0,27,0,954,-1572
2020/4/2 19:00,9988,3218,6404,981,146,389,0,0,25,0,487,-1662
2020/4/2 20:00,9736,3218,6453,804,146,388,0,0,25,0,362,-1660
2020/4/2 21:00,9366,3220,6409,761,146,389,0,0,33,0,146,-1738
2020/4/2 22:00,8954,3220,6231,608,146,388,0,0,25,0,16,-1680
2020/4/2 23:00,8409,3220,5352,505,146,389,0,0,19,0,0,-1222
2020/4/3 0:00,7936,3221,4828,398,146,392,0,0,13,0,10,-1072
2020/4/3 1:00,7996,3220,5017,393,146,389,0,0,6,0,-21,-1154
2020/4/3 2:00,8528,3220,5591,382,146,392,0,0,7,0,-18,-1192
2020/4/3 3:00,9098,3222,6106,592,146,394,0,0,8,0,72,-1442
2020/4/3 4:00,9271,3220,6216,714,145,392,0,0,7,0,103,-1526
2020/4/3 5:00,9237,3221,6262,773,146,393,0,0,7,0,55,-1620
2020/4/3 6:00,9253,3222,5984,725,146,393,113,0,3,0,127,-1460
2020/4/3 7:00,9295,3222,5019,515,146,391,750,0,5,0,-11,-742
2020/4/3 8:00,9589,3222,4671,416,146,390,1444,117,3,0,31,-734
2020/4/3 9:00,9697,3221,3650,380,146,391,2634,197,2,0,-67,-660
2020/4/3 10:00,9562,3221,3057,313,146,351,3374,257,0,0,-328,-572
2020/4/3 11:00,9426,3221,2727,308,146,319,4471,346,1,0,-1061,-706
2020/4/3 12:00,8937,3223,2597,336,146,323,4670,346,2,0,-1418,-942
2020/4/3 13:00,9158,3220,2541,324,146,320,5197,383,6,0,-1700,-896
2020/4/3 14:00,9008,3223,2572,349,146,355,4432,339,8,0,-731,-1346
2020/4/3 15:00,8953,3219,2647,346,146,387,3350,261,11,0,-373,-780
2020/4/3 16:00,9007,3225,3291,373,146,389,1980,0,16,0,715,-1128
2020/4/3 17:00,9233,3221,4472,701,146,390,764,0,7,0,1164,-1632
2020/4/3 18:00,9717,3215,6426,918,146,392,58,0,5,0,599,-2042
2020/4/3 19:00,9790,3220,6442,890,146,392,0,0,4,0,692,-1996
2020/4/3 20:00,9466,3217,6433,760,146,392,0,0,5,0,363,-1850
2020/4/3 21:00,9039,3221,6411,629,146,390,0,0,6,0,110,-1874
2020/4/3 22:00,8699,3221,6375,473,146,390,0,0,4,0,112,-2022
2020/4/3 23:00,8247,3219,5785,387,146,393,0,0,4,0,-9,-1678
2020/4/4 0:00,7739,3223,4850,344,145,389,0,0,10,0,-14,-1208
2020/4/4 1:00,7775,3222,4760,377,145,386,0,0,11,0,2,-1128
2020/4/4 2:00,8292,3221,5582,472,145,389,0,0,16,0,-3,-1530
2020/4/4 3:00,8828,3221,5887,656,145,391,0,0,18,0,78,-1568
2020/4/4 4:00,8979,3219,5909,636,145,391,0,0,21,0,102,-1444
2020/4/4 5:00,8728,3218,5671,808,145,390,0,0,38,0,18,-1560
