・エリア供給力は、特定できるものは電源種別とし、バイオマス混焼や特定できないものは火力に包含
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2017/04/01,00:00,13992,0,13373,561,0,0,0,0,28,0,0,30
2017/04/01,01:00,13640,0,13045,550,0,0,0,0,28,0,0,17
2017/04/01,02:00,13642,0,13079,534,0,0,0,0,30,0,0,-1
2017/04/01,03:00,13538,0,13032,493,0,0,0,0,38,0,0,-25
2017/04/01,04:00,13213,0,12705,466,0,0,0,0,50,0,0,-8
2017/04/01,05:00,12946,0,12389,462,0,0,0,0,41,0,0,54
2017/04/01,06:00,13164,0,12526,458,0,0,33,0,34,0,0,113
2017/04/01,07:00,13595,0,12832,630,0,0,283,0,40,0,-328,138
2017/04/01,08:00,14712,0,13382,705,0,0,710,0,43,0,-371,243
2017/04/01,09:00,15333,0,13479,629,0,0,1126,0,44,0,-371,426
2017/04/01,10:00,15223,0,13086,579,0,0,1420,0,46,0,-370,462
2017/04/01,11:00,14913,0,12701,569,0,0,1569,0,41,0,-371,404
2017/04/01,12:00,14295,0,12323,516,0,0,1396,0,30,0,-369,399
2017/04/01,13:00,14415,0,12354,548,0,0,1517,0,19,0,-370,347
2017/04/01,14:00,14134,0,12170,558,0,0,1390,0,17,0,-368,367
2017/04/01,15:00,13836,0,12206,570,0,0,1034,0,16,0,-369,379
2017/04/01,16:00,14006,0,12814,615,0,0,596,0,19,0,-369,331
2017/04/01,17:00,14337,0,13408,843,0,0,124,0,18,0,-368,312
2017/04/01,18:00,15218,0,14158,1079,0,0,0,0,22,0,-370,329
2017/04/01,19:00,15113,0,14144,963,0,0,0,0,31,0,-368,343
2017/04/01,20:00,14802,0,14007,896,0,0,0,0,31,0,-368,236
2017/04/01,21:00,14098,0,13456,783,0,0,0,0,33,0,-367,193
2017/04/01,22:00,13275,0,12916,559,0,0,0,0,34,0,-369,135
2017/04/01,23:00,12959,0,12633,482,0,0,0,0,29,0,-251,66
2017/04/02,00:00,12267,0,11710,447,0,0,0,0,29,0,0,81
2017/04/02,01:00,12244,0,11711,441,0,0,0,0,26,0,0,66
2017/04/02,02:00,12468,0,11875,479,0,0,0,0,17,0,0,97
2017/04/02,03:00,12384,0,11793,492,0,0,0,0,11,0,0,88
2017/04/02,04:00,12266,0,11682,477,0,0,0,0,14,0,0,93
2017/04/02,05:00,12062,0,11511,436,0,0,1,0,16,0,0,98
2017/04/02,06:00,11982,0,10941,563,0,0,373,0,15,0,0,90
2017/04/02,07:00,11956,0,9714,622,0,0,1585,0,11,0,0,24
2017/04/02,08:00,12301,0,8875,578,0,0,3039,0,7,0,-242,44
2017/04/02,09:00,12501,0,8507,555,0,0,4138,0,6,0,-738,33
2017/04/02,10:00,12247,0,8165,535,0,0,4833,0,4,0,-1334,44
2017/04/02,11:00,11985,0,7885,528,0,0,5040,0,4,0,-1445,-27
2017/04/02,12:00,11835,0,7952,503,0,0,4863,0,6,0,-1468,-21
2017/04/02,13:00,11577,0,8587,497,0,0,4202,0,15,0,-1743,19
2017/04/02,14:00,11385,0,8596,552,0,0,3504,0,18,0,-1417,132
2017/04/02,15:00,11364,0,9086,609,0,0,2526,0,33,0,-1052,162
2017/04/02,16:00,11726,0,9805,651,0,0,1366,0,40,0,-391,255
2017/04/02,17:00,12557,0,11086,858,0,0,286,0,42,0,0,285
2017/04/02,18:00,13765,0,12349,1050,0,0,0,0,58,0,0,308
2017/04/02,19:00,14075,0,12705,976,0,0,0,0,63,0,0,331
2017/04/02,20:00,14024,0,12798,889,0,0,0,0,66,0,0,271
2017/04/02,21:00,13654,0,12572,754,0,0,0,0,79,0,0,249
2017/04/02,22:00,12844,0,12021,597,0,0,0,0,61,0,0,165
2017/04/02,23:00,12509,0,11751,551,0,0,0,0,73,0,0,134
2017/04/03,00:00,12059,0,11415,434,0,0,0,0,87,0,0,123
2017/04/03,01:00,12078,0,11471,427,0,0,0,0,77,0,0,103
2017/04/03,02:00,12373,0,11846,417,0,0,0,0,69,0,0,41
2017/04/03,03:00,12556,0,12061,419,0,0,0,0,69,0,0,7
2017/04/03,04:00,12614,0,12106,436,0,0,0,0,53,0,0,19
2017/04/03,05:00,13097,0,12505,478,0,0,0,0,58,0,0,56
2017/04/03,06:00,14097,0,12861,503,0,0,585,0,80,0,0,68
2017/04/03,07:00,15119,0,12321,501,0,0,2083,0,80,0,0,134
2017/04/03,08:00,16771,0,12374,592,0,0,3453,0,84,0,0,268
2017/04/03,09:00,17672,0,12222,590,0,0,4456,0,84,0,0,320
2017/04/03,10:00,17522,0,11437,591,0,0,5035,0,95,0,0,364
2017/04/03,11:00,17245,0,11076,593,0,0,5174,0,99,0,-2,305
2017/04/03,12:00,15817,0,10235,530,0,0,5012,0,116,0,-228,152
2017/04/03,13:00,16661,0,11386,557,0,0,4325,0,134,0,-2,261
2017/04/03,14:00,16555,0,12165,669,0,0,3291,0,130,0,0,300
2017/04/03,15:00,16440,0,13106,798,0,0,2136,0,132,0,0,268
2017/04/03,16:00,16795,0,14347,969,0,0,1007,0,121,0,0,351
2017/04/03,17:00,16635,0,14635,1582,0,0,132,0,108,0,0,178
2017/04/03,18:00,17187,0,14766,2101,0,0,0,0,105,0,0,215
2017/04/03,19:00,16799,0,14670,1879,0,0,0,0,139,0,0,111
2017/04/03,20:00,16189,0,14434,1567,0,0,0,0,144,0,0,44
2017/04/03,21:00,15925,0,14389,1291,0,0,0,0,176,0,0,69
2017/04/03,22:00,15222,0,14143,751,0,0,0,0,200,0,0,128
2017/04/03,23:00,14676,0,13772,642,0,0,0,0,180,0,0,82
2017/04/04,00:00,13998,0,13619,446,0,0,0,0,143,0,-196,-14
2017/04/04,01:00,13804,0,13479,435,0,0,0,0,147,0,-232,-25
2017/04/04,02:00,13901,0,13597,432,0,0,0,0,129,0,-232,-25
2017/04/04,03:00,13929,0,13613,428,0,0,0,0,145,0,-234,-23
2017/04/04,04:00,13989,0,13689,423,0,0,0,0,136,0,-232,-27
2017/04/04,05:00,14323,0,13928,465,0,0,1,0,140,0,-232,21
2017/04/04,06:00,14906,0,13935,541,0,0,478,0,106,0,-202,48
2017/04/04,07:00,15623,0,12950,675,0,0,1807,0,76,0,0,115
2017/04/04,08:00,17096,0,12866,666,0,0,3238,0,65,0,0,261
2017/04/04,09:00,17804,0,12449,613,0,0,4326,0,44,0,0,372
2017/04/04,10:00,17502,0,11590,588,0,0,4958,0,27,0,0,339
2017/04/04,11:00,17247,0,11157,600,0,0,5212,0,28,0,0,250
2017/04/04,12:00,15821,0,9975,513,0,0,5131,0,23,0,0,179
2017/04/04,13:00,16709,0,11205,511,0,0,4724,0,15,0,0,254
2017/04/04,14:00,16607,0,11826,563,0,0,3950,0,9,0,0,259
2017/04/04,15:00,16294,0,12546,630,0,0,2837,0,14,0,0,267
2017/04/04,16:00,16364,0,13833,808,0,0,1394,0,21,0,0,308
2017/04/04,17:00,16145,0,14400,1306,0,0,292,0,21,0,0,126
2017/04/04,18:00,16788,0,14408,2219,0,0,0,0,14,0,0,147
2017/04/04,19:00,16480,0,14136,2271,0,0,0,0,8,0,0,65
2017/04/04,20:00,15880,0,13956,1880,0,0,0,0,5,0,0,39
2017/04/04,21:00,15433,0,13892,1477,0,0,0,0,5,0,0,59
2017/04/04,22:00,14926,0,13880,899,0,0,0,0,3,0,0,144
2017/04/04,23:00,14425,0,13815,632,0,0,0,0,3,0,-140,115
2017/04/05,00:00,13669,0,13058,450,0,0,0,0,3,0,-242,400
2017/04/05,01:00,13568,0,12895,429,0,0,0,0,5,0,-240,479
2017/04/05,02:00,13626,0,13007,422,0,0,0,0,5,0,-240,432
2017/04/05,03:00,13654,0,13008,426,0,0,0,0,7,0,-238,451
2017/04/05,04:00,13610,0,12946,421,0,0,0,0,10,0,-240,473
2017/04/05,05:00,13778,0,13061,439,0,0,0,0,4,0,-238,512
2017/04/05,06:00,14338,0,13147,503,0,0,416,0,6,0,-238,504
2017/04/05,07:00,15119,0,12830,549,0,0,1529,0,4,0,-180,387
2017/04/05,08:00,16628,0,12765,702,0,0,2651,0,5,0,0,505
2017/04/05,09:00,17427,0,12428,612,0,0,3834,0,4,0,0,549
2017/04/05,10:00,17174,0,11452,575,0,0,4507,0,4,0,0,636
2017/04/05,11:00,17015,0,11501,577,0,0,4492,0,9,0,-2,438
2017/04/05,12:00,15598,0,11017,509,0,0,4073,0,13,0,-234,220
2017/04/05,13:00,16420,0,12549,594,0,0,3022,0,18,0,0,237
2017/04/05,14:00,16514,0,13024,710,0,0,2278,0,17,0,0,485
2017/04/05,15:00,16258,0,13544,864,0,0,1336,0,15,0,0,499
2017/04/05,16:00,16397,0,14253,1195,0,0,463,0,18,0,0,468
2017/04/05,17:00,16413,0,13992,1995,0,0,56,0,15,0,0,355
2017/04/05,18:00,16761,0,14121,2421,0,0,0,0,20,0,0,199
2017/04/05,19:00,16179,0,14084,1948,0,0,0,0,23,0,0,124
2017/04/05,20:00,15518,0,14027,1292,0,0,0,0,20,0,0,179
2017/04/05,21:00,14980,0,13754,842,0,0,0,0,11,0,0,373
2017/04/05,22:00,14401,0,13242,782,0,0,0,0,20,0,0,357
2017/04/05,23:00,13844,0,12648,641,0,0,0,0,43,0,0,512
2017/04/06,00:00,13120,0,12285,477,0,0,0,0,47,0,-158,469
2017/04/06,01:00,12936,0,12219,471,0,0,0,0,30,0,-238,454
2017/04/06,02:00,13017,0,12348,461,0,0,0,0,20,0,-238,426
2017/04/06,03:00,13095,0,12414,457,0,0,0,0,22,0,-240,442
2017/04/06,04:00,13005,0,12324,461,0,0,0,0,17,0,-238,441
2017/04/06,05:00,13113,0,12366,459,0,0,0,0,19,0,-238,507
2017/04/06,06:00,13693,0,12745,483,0,0,149,0,35,0,-238,519
