・エリア供給力は、特定できるものは電源種別とし、バイオマス混焼や特定できないものは火力に包含(2018年10月1日から揚水欄は揚水発電と揚水動力の合計値）
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2020/04/01,00:00,12686,0,9971,1670,0,0,0,0,146,0,0,899
2020/04/01,01:00,12386,0,9287,1664,0,0,0,0,147,0,-2,1290
2020/04/01,02:00,12491,0,9382,1706,0,0,0,0,140,0,-2,1265
2020/04/01,03:00,12598,0,9622,1708,0,0,0,0,158,0,0,1110
2020/04/01,04:00,12525,0,9901,1696,0,0,0,0,157,0,0,771
2020/04/01,05:00,12560,0,9866,1684,0,0,0,0,159,0,0,851
2020/04/01,06:00,12948,0,9929,1692,0,0,137,0,153,0,68,969
2020/04/01,07:00,13982,0,10937,1689,0,0,527,0,161,0,66,602
2020/04/01,08:00,16037,0,12628,1711,0,0,1143,0,163,0,89,303
2020/04/01,09:00,17099,0,13226,1777,0,0,1642,0,173,0,145,136
2020/04/01,10:00,17188,0,13667,1746,0,0,1171,0,174,0,147,283
2020/04/01,11:00,17237,0,14228,1710,0,0,1005,0,151,0,174,-31
2020/04/01,12:00,16209,0,13615,1665,0,0,821,0,157,0,12,-61
2020/04/01,13:00,17215,0,13963,1684,0,0,565,0,157,0,462,384
2020/04/01,14:00,17302,0,13777,1800,0,0,248,0,143,0,498,836
2020/04/01,15:00,17195,0,13864,1823,0,0,77,0,138,0,529,764
2020/04/01,16:00,17151,0,13634,1859,0,0,25,0,100,0,604,929
2020/04/01,17:00,16675,0,13456,1878,0,0,2,0,77,0,617,645
2020/04/01,18:00,16625,0,13837,1918,0,0,0,0,133,0,474,263
2020/04/01,19:00,16054,0,13006,1946,0,0,0,0,176,0,251,675
2020/04/01,20:00,15483,0,12019,1956,0,0,0,0,183,0,170,1155
2020/04/01,21:00,14918,0,11449,1886,0,0,0,0,171,0,150,1262
2020/04/01,22:00,14365,0,10980,1911,0,0,0,0,178,0,120,1176
2020/04/01,23:00,13825,0,10857,1897,0,0,0,0,220,0,94,757
2020/04/02,00:00,12932,0,9559,1870,0,0,0,0,224,0,0,1279
2020/04/02,01:00,12733,0,9167,1875,0,0,0,0,217,0,0,1474
2020/04/02,02:00,12883,0,9502,1804,0,0,0,0,206,0,0,1371
2020/04/02,03:00,13077,0,9689,1859,0,0,0,0,169,0,0,1360
2020/04/02,04:00,13135,0,9763,1855,0,0,0,0,148,0,0,1369
