・エリア供給力は、特定できるものは電源種別とし、特定できないものは火力に包含(2021年9月1日から地熱・一部のバイオマスを特定）
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2021/04/01,00:00,12463,0,10087,1637,0,0,0,0,6,0,0,733
2021/04/01,01:00,12224,0,9909,1523,0,0,0,0,5,0,0,787
2021/04/01,02:00,12359,0,10233,1565,0,0,0,0,2,0,0,559
2021/04/01,03:00,12587,0,10426,1622,0,0,0,0,0,0,0,539
2021/04/01,04:00,12710,0,11059,1550,0,0,0,0,1,0,94,6
2021/04/01,05:00,12762,0,10625,1529,0,0,0,0,2,0,2,604
2021/04/01,06:00,13042,0,9961,1544,0,0,478,0,2,0,0,1057
2021/04/01,07:00,13826,0,8610,1620,0,0,2272,0,1,0,-186,1509
2021/04/01,08:00,15256,0,8093,1625,0,0,4121,0,1,0,-217,1633
2021/04/01,09:00,16318,0,8106,1564,0,0,5597,0,1,0,330,720
2021/04/01,10:00,16389,0,7629,1560,0,0,6731,0,4,0,137,328
2021/04/01,11:00,16517,0,6867,1487,0,0,7474,0,10,0,12,667
2021/04/01,12:00,15476,0,6526,1446,0,0,7344,0,14,0,0,146
2021/04/01,13:00,16051,0,7224,1461,0,0,6707,0,20,0,0,639
2021/04/01,14:00,16099,0,7973,1572,0,0,5672,0,21,0,0,861
2021/04/01,15:00,15858,0,9053,1736,0,0,3972,0,26,0,25,1046
2021/04/01,16:00,15777,0,10962,1846,0,0,1963,0,28,0,248,730
2021/04/01,17:00,15448,0,12829,1911,0,0,306,0,24,0,531,-153
2021/04/01,18:00,15822,0,13203,2008,0,0,0,0,20,0,1271,-680
2021/04/01,19:00,15255,0,13120,2029,0,0,0,0,15,0,578,-487
2021/04/01,20:00,14677,0,12811,2025,0,0,0,0,29,0,288,-476
2021/04/01,21:00,14141,0,12518,1956,0,0,0,0,40,0,0,-373
2021/04/01,22:00,13728,0,11569,1810,0,0,0,0,52,0,0,297
2021/04/01,23:00,13367,0,11399,1717,0,0,0,0,45,0,0,206
2021/04/02,00:00,12686,0,10746,1655,0,0,0,0,46,0,0,239
2021/04/02,01:00,12338,0,10785,1644,0,0,0,0,56,0,0,-147
2021/04/02,02:00,12546,0,10933,1653,0,0,0,0,65,0,0,-105
2021/04/02,03:00,12785,0,11200,1620,0,0,0,0,66,0,0,-101
2021/04/02,04:00,12825,0,11250,1528,0,0,0,0,78,0,0,-31
2021/04/02,05:00,12772,0,11115,1585,0,0,0,0,90,0,0,-18
2021/04/02,06:00,12993,0,11042,1495,0,0,489,0,86,0,0,-119
2021/04/02,07:00,13889,0,9458,1498,0,0,2308,0,92,0,0,533
