・エリア供給力は、特定できるものは電源種別とし、特定できないものは火力に包含(2021年9月1日から地熱・一部のバイオマスを特定）
・実績データを基本とするが、把握実態により計画･統計データを採用する場合があり、情報は速報扱いとし、修正が必要となった場合には事後的に修正する
・太陽光の自家消費分は、エリア需要実績や太陽光発電実績には加算していない
,,,,,,,,,,,,,単位：MWh
DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,太陽光（出力制御量）,風力（実績）,風力（出力制御量）,揚水,連系線
2023/04/01,00:00,11570,0,6843,1296,2,230,0,0,7,0,172,3020
2023/04/01,01:00,11279,0,6667,1283,1,225,0,0,7,0,167,2929
2023/04/01,02:00,11498,0,6687,1282,2,225,0,0,8,0,319,2975
2023/04/01,03:00,11783,0,7034,1273,2,226,0,0,12,0,372,2864
2023/04/01,04:00,11747,0,7195,1294,2,224,0,0,13,0,374,2645
2023/04/01,05:00,11523,0,6602,1332,1,224,11,0,14,0,378,2961
2023/04/01,06:00,11200,0,5415,1333,2,224,869,0,14,0,55,3288
2023/04/01,07:00,11141,0,4571,1357,2,222,3354,0,10,0,-817,2442
2023/04/01,08:00,11579,0,3752,1319,1,223,5881,0,4,0,-1204,1603
2023/04/01,09:00,12044,0,3472,1238,2,223,7679,0,5,0,-1924,1349
2023/04/01,10:00,11938,0,3372,1207,2,223,8681,0,7,0,-2663,1109
2023/04/01,11:00,11902,0,3427,1200,1,222,9039,0,11,0,-2710,712
2023/04/01,12:00,11538,0,3424,1170,2,222,8940,0,12,0,-2752,520
2023/04/01,13:00,11455,0,3480,1185,2,223,8362,0,9,0,-2683,877
2023/04/01,14:00,11223,0,3836,1206,1,222,7148,0,4,0,-2543,1349
2023/04/01,15:00,11071,0,3877,1285,2,223,5157,0,4,0,-1588,2111
2023/04/01,16:00,10972,0,4479,1336,1,224,2594,0,6,0,81,2251
2023/04/01,17:00,11171,0,5708,1449,2,222,457,0,6,0,802,2525
2023/04/01,18:00,11816,0,6487,1478,2,224,0,0,7,0,1094,2524
2023/04/01,19:00,11763,0,6507,1469,1,223,0,0,14,0,861,2688
2023/04/01,20:00,11478,0,6512,1410,2,224,0,0,18,0,864,2448
2023/04/01,21:00,11054,0,6701,1296,2,224,0,0,13,0,791,2027
2023/04/01,22:00,10584,0,5916,1240,2,224,0,0,11,0,590,2601
2023/04/01,23:00,10386,0,6343,1186,1,224,0,0,11,0,754,1867
2023/04/02,00:00,9847,0,6329,1153,2,223,0,0,13,0,927,1200
2023/04/02,01:00,9743,0,6073,1153,2,223,0,0,13,0,697,1582
2023/04/02,02:00,10057,0,6286,1161,1,222,0,0,18,0,656,1713
2023/04/02,03:00,10444,0,6571,1158,2,221,0,0,25,0,666,1801
